season,season_type,week,matchup_key,away_tla,home_tla,stage,analysis_available,best_edge_market,best_edge_side,best_edge_score,best_edge_status,best_edge_label,engine_recommendation,spread_side,spread_score,spread_threshold,spread_status,spread_cleared_threshold,spread_blocked,spread_blockers,spread_signal_sources,spread_conflict_sources,total_side,total_score,total_threshold,total_status,total_cleared_threshold,total_blocked,total_blockers,total_signal_sources,total_conflict_sources,moneyline_status,moneyline_side,moneyline_line,moneyline_away_odds,moneyline_home_odds,moneyline_away_fair_prob,moneyline_home_fair_prob,moneyline_away_model_prob,moneyline_home_model_prob,moneyline_away_edge,moneyline_home_edge,moneyline_away_ev,moneyline_home_ev,moneyline_selected_ev,moneyline_selected_edge,moneyline_market_hold,division_game,conference_game,away_division,home_division,pythagorean_side,market_expectation_side,value_gap_side,overperformance_side,pythagorean_pick_alignment,market_expectation_pick_alignment,value_gap_pick_alignment,overperformance_pick_alignment,pythagorean_wins_delta,vegas_win_total_delta,pythagorean_vs_vegas_delta,actual_vs_pythagorean_delta,expectation_games_tracked_min,expectation_sample_warning,source_health_status,data_quality_status,away_score,home_score,straight_up_winner_side,final_margin_away_minus_home,final_total,bet_result,bet_margin_to_line,bet_line,result_source,warps_joined,warps_spread_side,warps_spread_team,warps_spread_edge_points,warps_spread_edge_bucket,warps_spread_pick_alignment,warps_fair_home_spread,warps_fair_away_spread,warps_home_win_prob,warps_away_win_prob,warps_ml_side,warps_ml_team,warps_ml_edge_prob,warps_ml_ev
2025,REG,11,CHI@MIN,CHI,MIN,final,true,spread,AWAY,4.0,play,🎯 TARGETED PLAY,🎯 TARGETED PLAY: Chicago Bears +3,AWAY,4.0,4.0,playable,true,false,,sharp;team_rating;injury,,OVER,3.0,4.0,lean,false,false,,sharp,,research_thin_sample,AWAY,+130 | -150,130,-150,0.4202,0.5798,0.6381,0.3619,0.2179,-0.2179,0.4676,-0.3968,0.4676,0.2179,0.0348,true,true,NFC North,NFC North,AWAY,NEUTRAL,AWAY,AWAY,aligned,neutral,aligned,aligned,2.22,0.0,2.22,0.86,1,true,OK,OK,19.0,17.0,AWAY,2.0,36.0,win,5.0,3.0,nflverse,true,HOME,MIN,2.06,abs2_to_3,conflict,-5.06,5.06,0.6466,0.3534,HOME,MIN,0.0745,0.0835
2025,REG,11,KC@DEN,KC,DEN,final,true,spread,AWAY,3.0,play,📊 LEAN,👀 LEAN: Kansas City Chiefs -3.5 (proceed with caution),AWAY,3.0,3.0,playable,true,false,,sharp,,UNDER,0.0,4.0,lean,false,false,,,,research_thin_sample,HOME,-205 | +180,-205,180,0.653,0.347,0.3944,0.6056,-0.2586,0.2586,-0.4132,0.6957,0.6957,0.2586,0.0293,true,true,AFC West,AFC West,HOME,AWAY,HOME,HOME,conflict,aligned,conflict,conflict,-3.27,2.0,-5.27,-0.98,1,true,OK,OK,19.0,22.0,HOME,-3.0,41.0,loss,-6.5,-3.5,nflverse,true,HOME,DEN,6.383,abs>=3,conflict,-2.88,2.88,0.5849,0.4151,HOME,DEN,0.2424,0.6376
2025,REG,11,HOU@TEN,HOU,TEN,final,true,,,,pass,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,HOME,0.0,4.0,blocked,false,true,team-rating conflict,sharp,team_rating;injury,UNDER,3.0,4.0,lean,false,false,,sharp;ref_weather_context,,research_thin_sample,HOME,-275 | +230,-275,230,0.7076,0.2924,0.6675,0.3325,-0.0401,0.0401,-0.0898,0.0972,0.0972,0.0401,0.0364,true,true,AFC South,AFC South,AWAY,AWAY,AWAY,AWAY,no_pick,no_pick,no_pick,no_pick,6.2,4.0,2.2,0.9,1,true,OK,OK,,,,,,,,,,true,HOME,TEN,5.693,abs>=3,non_spread_pick,-0.19,0.19,0.5057,0.4943,HOME,TEN,0.2015,0.5931
2025,REG,11,WAS@MIA,WAS,MIA,final,true,,,,pass,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,AWAY,0.0,4.0,blocked,false,true,team-rating conflict,sharp;injury,team_rating,UNDER,0.0,4.0,lean,false,false,,,,research_thin_sample,AWAY,+130 | -142,130,-142,0.4256,0.5744,0.448,0.552,0.0224,-0.0224,0.0304,-0.0593,0.0304,0.0224,0.0216,false,false,NFC East,AFC East,,AWAY,,,no_pick,no_pick,no_pick,no_pick,,1.0,,,0,true,OK,OK,,,,,,,,,,true,AWAY,WAS,1.86,abs1_to_2,non_spread_pick,-0.64,0.64,0.519,0.481,AWAY,WAS,0.0531,0.0775
2025,REG,11,SF@ARI,SF,ARI,final,true,,,,pass,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,HOME,0.0,4.0,blocked,false,true,sharp spread edge required,team_rating;injury,,OVER,2.0,4.0,lean,false,false,,sharp,,research_thin_sample,HOME,-157 | +145,-157,145,0.5995,0.4005,0.456,0.544,-0.1435,0.1435,-0.2536,0.3328,0.3328,0.1435,0.0191,true,true,NFC West,NFC West,,AWAY,,,no_pick,no_pick,no_pick,no_pick,,2.0,,,0,true,OK,OK,,,,,,,,,,true,HOME,ARI,6.265,abs>=3,non_spread_pick,-2.76,2.76,0.5814,0.4186,HOME,ARI,0.2123,0.5117
2025,REG,11,CIN@PIT,CIN,PIT,final,true,,,,pass,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,HOME,2.0,4.0,lean,false,false,,sharp,injury,OVER,-2.0,4.0,lean,false,false,,,ref_weather_context,research_thin_sample,AWAY,+200 | -235,200,-235,0.3221,0.6779,0.5673,0.4327,0.2451,-0.2451,0.7018,-0.3831,0.7018,0.2451,0.0348,true,true,AFC North,AFC North,AWAY,AWAY,NEUTRAL,NEUTRAL,no_pick,no_pick,no_pick,no_pick,0.75,1.0,-0.25,-0.05,1,true,OK,OK,,,,,,,,,,true,AWAY,CIN,2.974,abs2_to_3,non_spread_pick,-2.53,2.53,0.5745,0.4255,AWAY,CIN,0.1109,0.2978
2025,REG,11,DET@PHI,DET,PHI,final,true,,,,pass,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,AWAY,0.0,4.0,blocked,false,true,sharp spread edge required,team_rating,,UNDER,0.0,4.0,lean,false,false,,,,research_thin_sample,HOME,+130 | -142,130,-142,0.4256,0.5744,0.2822,0.7178,-0.1434,0.1434,-0.3508,0.2232,0.2232,0.1434,0.0216,false,true,NFC North,NFC East,HOME,HOME,HOME,NEUTRAL,no_pick,no_pick,no_pick,no_pick,-10.36,-1.0,-9.36,-0.39,1,true,OK,OK,,,,,,,,,,true,AWAY,DET,1.5,abs1_to_2,non_spread_pick,-1.0,1.0,0.5296,0.4704,AWAY,DET,0.0534,0.0819
2025,REG,11,CAR@ATL,CAR,ATL,final,true,,,,pass,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,HOME,0.0,5.0,blocked,false,true,sharp spread edge required;team-rating conflict,injury,team_rating,OVER,2.0,4.0,lean,false,false,,ref_weather_context,,research_thin_sample,HOME,+165 | -190,165,-190,0.3655,0.6345,0.2218,0.7782,-0.1437,0.1437,-0.4122,0.1878,0.1878,0.1437,0.0325,true,true,NFC South,NFC South,HOME,HOME,HOME,HOME,no_pick,no_pick,no_pick,no_pick,-8.14,-1.0,-7.14,-0.52,1,true,OK,OK,,,,,,,,,,true,HOME,ATL,0.871,abs<1,non_spread_pick,-5.37,5.37,0.6552,0.3448,AWAY,CAR,0.0023,-0.0345
2025,REG,11,LAC@JAX,LAC,JAX,final,true,,,,pass,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,AWAY,0.0,4.0,blocked,false,true,sharp spread edge required,team_rating,,UNDER,1.0,4.0,lean,false,false,,sharp,,research_thin_sample,HOME,-150 | +132,-150,132,0.5819,0.4181,0.3873,0.6127,-0.1947,0.1947,-0.3546,0.4216,0.4216,0.1947,0.031,false,true,AFC West,AFC South,HOME,AWAY,HOME,NEUTRAL,no_pick,no_pick,no_pick,no_pick,-4.55,2.0,-6.55,0.27,1,true,OK,OK,,,,,,,,,,true,HOME,JAX,0.868,abs<1,non_spread_pick,2.13,-2.13,0.437,0.563,HOME,JAX,0.02,0.0052
2025,REG,11,SEA@LAR,SEA,LAR,final,true,,,,pass,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,AWAY,0.0,5.0,blocked,false,true,sharp spread edge required,,injury,OVER,1.0,4.0,lean,false,false,,sharp,ref_weather_context,research_thin_sample,AWAY,+160 | -164,160,-164,0.3824,0.6176,0.6529,0.3471,0.2705,-0.2705,0.6975,-0.4413,0.6975,0.2705,0.0058,true,true,NFC West,NFC West,AWAY,HOME,AWAY,NEUTRAL,no_pick,no_pick,no_pick,no_pick,2.78,-2.0,4.78,0.06,1,true,OK,OK,,,,,,,,,,true,AWAY,SEA,1.956,abs1_to_2,non_spread_pick,-1.04,1.04,0.5309,0.4691,AWAY,SEA,0.0783,0.1492
2025,REG,11,GB@NYG,GB,NYG,final,true,,,,pass,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,AWAY,1.0,4.0,lean,false,false,,sharp,,UNDER,1.0,4.0,lean,false,false,,sharp,,research_thin_sample,HOME,-350 | +320,-350,320,0.7656,0.2344,0.532,0.468,-0.2336,0.2336,-0.316,0.9656,0.9656,0.2336,0.0159,false,true,NFC North,NFC East,,AWAY,,,no_pick,no_pick,no_pick,no_pick,,4.0,,,0,true,OK,OK,,,,,,,,,,true,HOME,NYG,4.011,abs>=3,non_spread_pick,3.49,-3.49,0.3977,0.6023,HOME,NYG,0.1796,0.7497
