factor,feature,value,actionability,plays,wins,losses,win_rate,baseline_win_rate,win_rate_lift,sample_flag,promotion_status,selector_influence_allowed,recommendation,blockers,warnings
best_edge_score_bin=4_to_5,best_edge_score_bin,4_to_5,selector_diagnostic,9,8,1,0.8889,0.7778,0.1111,monitor,candidate,True,Simulate as a soft overlay before changing production recommendations.,,below production threshold 40
value_gap_pick_alignment=aligned,value_gap_pick_alignment,aligned,candidate_overlay,8,7,1,0.875,0.7778,0.0972,monitor,candidate,True,Simulate as a soft overlay before changing production recommendations.,,below production threshold 40
market_expectation_side=HOME,market_expectation_side,HOME,research_feature,6,6,0,1.0,0.7778,0.2222,thin,monitor,False,Keep visible in Research and re-evaluate after each graded week.,,thin sample below candidate threshold 8
total_score_bin=0_to_3.5,total_score_bin,0_to_3.5,selector_diagnostic,4,4,0,1.0,0.7778,0.2222,thin,monitor,False,Keep visible in Research and re-evaluate after each graded week.,,thin sample below candidate threshold 8
total_score_bin=3.5_to_4.5,total_score_bin,3.5_to_4.5,selector_diagnostic,4,4,0,1.0,0.7778,0.2222,thin,monitor,False,Keep visible in Research and re-evaluate after each graded week.,,thin sample below candidate threshold 8
vegas_win_total_delta_bin=abs>=4,vegas_win_total_delta_bin,abs>=4,research_feature,4,4,0,1.0,0.7778,0.2222,thin,monitor,False,Keep visible in Research and re-evaluate after each graded week.,,thin sample below candidate threshold 8
overperformance_side=AWAY,overperformance_side,AWAY,research_feature,7,6,1,0.8571,0.7778,0.0793,thin,monitor,False,Keep visible in Research and re-evaluate after each graded week.,,thin sample below candidate threshold 8
pythagorean_pick_alignment=aligned,pythagorean_pick_alignment,aligned,candidate_overlay,7,6,1,0.8571,0.7778,0.0793,thin,monitor,False,Keep visible in Research and re-evaluate after each graded week.,,thin sample below candidate threshold 8
pythagorean_wins_delta_bin=abs2_to_4,pythagorean_wins_delta_bin,abs2_to_4,research_feature,7,6,1,0.8571,0.7778,0.0793,thin,monitor,False,Keep visible in Research and re-evaluate after each graded week.,,thin sample below candidate threshold 8
best_edge_market=total,best_edge_market,total,selector_diagnostic,6,5,1,0.8333,0.7778,0.0555,thin,monitor,False,Keep visible in Research and re-evaluate after each graded week.,,thin sample below candidate threshold 8
market_expectation_pick_alignment=conflict,market_expectation_pick_alignment,conflict,candidate_overlay,6,5,1,0.8333,0.7778,0.0555,thin,monitor,False,Keep visible in Research and re-evaluate after each graded week.,,thin sample below candidate threshold 8
market_expectation_pick_alignment=non_side_pick,market_expectation_pick_alignment,non_side_pick,candidate_overlay,6,5,1,0.8333,0.7778,0.0555,thin,monitor,False,Keep visible in Research and re-evaluate after each graded week.,,thin sample below candidate threshold 8
overperformance_pick_alignment=aligned,overperformance_pick_alignment,aligned,candidate_overlay,6,5,1,0.8333,0.7778,0.0555,thin,monitor,False,Keep visible in Research and re-evaluate after each graded week.,,thin sample below candidate threshold 8
overperformance_pick_alignment=non_side_pick,overperformance_pick_alignment,non_side_pick,candidate_overlay,6,5,1,0.8333,0.7778,0.0555,thin,monitor,False,Keep visible in Research and re-evaluate after each graded week.,,thin sample below candidate threshold 8
pythagorean_pick_alignment=non_side_pick,pythagorean_pick_alignment,non_side_pick,candidate_overlay,6,5,1,0.8333,0.7778,0.0555,thin,monitor,False,Keep visible in Research and re-evaluate after each graded week.,,thin sample below candidate threshold 8
spread_score_bin=3.5_to_4.5,spread_score_bin,3.5_to_4.5,selector_diagnostic,6,5,1,0.8333,0.7778,0.0555,thin,monitor,False,Keep visible in Research and re-evaluate after each graded week.,,thin sample below candidate threshold 8
total_status=playable,total_status,playable,selector_diagnostic,6,5,1,0.8333,0.7778,0.0555,thin,monitor,False,Keep visible in Research and re-evaluate after each graded week.,,thin sample below candidate threshold 8
value_gap_pick_alignment=non_side_pick,value_gap_pick_alignment,non_side_pick,candidate_overlay,6,5,1,0.8333,0.7778,0.0555,thin,monitor,False,Keep visible in Research and re-evaluate after each graded week.,,thin sample below candidate threshold 8
actual_vs_pythagorean_delta_bin=abs0.5_to_2,actual_vs_pythagorean_delta_bin,abs0.5_to_2,research_feature,11,9,2,0.8182,0.7778,0.0404,monitor,monitor,False,Keep visible in Research and re-evaluate after each graded week.,,below production threshold 40
pythagorean_side=AWAY,pythagorean_side,AWAY,research_feature,10,8,2,0.8,0.7778,0.0222,monitor,monitor,False,Keep visible in Research and re-evaluate after each graded week.,,below production threshold 40
value_gap_side=AWAY,value_gap_side,AWAY,research_feature,10,8,2,0.8,0.7778,0.0222,monitor,monitor,False,Keep visible in Research and re-evaluate after each graded week.,,below production threshold 40
best_edge_side=HOME,best_edge_side,HOME,selector_diagnostic,5,4,1,0.8,0.7778,0.0222,thin,monitor,False,Keep visible in Research and re-evaluate after each graded week.,,thin sample below candidate threshold 8
best_edge_side=UNDER,best_edge_side,UNDER,selector_diagnostic,5,4,1,0.8,0.7778,0.0222,thin,monitor,False,Keep visible in Research and re-evaluate after each graded week.,,thin sample below candidate threshold 8
vegas_win_total_delta_bin=abs0.5_to_2,vegas_win_total_delta_bin,abs0.5_to_2,research_feature,5,4,1,0.8,0.7778,0.0222,thin,monitor,False,Keep visible in Research and re-evaluate after each graded week.,,thin sample below candidate threshold 8
pythagorean_vs_vegas_delta_bin=abs0.5_to_2,pythagorean_vs_vegas_delta_bin,abs0.5_to_2,research_feature,3,3,0,1.0,0.7778,0.2222,micro,research,False,Retain as a descriptive feature only.,needs at least 4 graded plays to monitor,
data_quality_status=DEGRADED,data_quality_status,DEGRADED,context,2,2,0,1.0,0.7778,0.2222,micro,research,False,Retain as a descriptive feature only.,context factor should not directly alter picks;needs at least 4 graded plays to monitor,
moneyline_selected_ev_bin=<=0,moneyline_selected_ev_bin,<=0,moneyline_research,2,2,0,1.0,0.7778,0.2222,micro,research,False,Retain as a descriptive feature only.,moneyline is research-only until the pricing model is separately validated;needs at least 4 graded plays to monitor,
pythagorean_vs_vegas_delta_bin=abs2_to_4,pythagorean_vs_vegas_delta_bin,abs2_to_4,research_feature,2,2,0,1.0,0.7778,0.2222,micro,research,False,Retain as a descriptive feature only.,needs at least 4 graded plays to monitor,
source_health_status=DEGRADED,source_health_status,DEGRADED,context,2,2,0,1.0,0.7778,0.2222,micro,research,False,Retain as a descriptive feature only.,context factor should not directly alter picks;needs at least 4 graded plays to monitor,
spread_score_bin=>=4.5,spread_score_bin,>=4.5,selector_diagnostic,2,2,0,1.0,0.7778,0.2222,micro,research,False,Retain as a descriptive feature only.,needs at least 4 graded plays to monitor,
best_edge_side=OVER,best_edge_side,OVER,selector_diagnostic,1,1,0,1.0,0.7778,0.2222,micro,research,False,Retain as a descriptive feature only.,needs at least 4 graded plays to monitor,
market_expectation_pick_alignment=neutral,market_expectation_pick_alignment,neutral,candidate_overlay,1,1,0,1.0,0.7778,0.2222,micro,research,False,Retain as a descriptive feature only.,needs at least 4 graded plays to monitor,
pythagorean_pick_alignment=neutral,pythagorean_pick_alignment,neutral,candidate_overlay,1,1,0,1.0,0.7778,0.2222,micro,research,False,Retain as a descriptive feature only.,needs at least 4 graded plays to monitor,
pythagorean_side=NEUTRAL,pythagorean_side,NEUTRAL,research_feature,1,1,0,1.0,0.7778,0.2222,micro,research,False,Retain as a descriptive feature only.,needs at least 4 graded plays to monitor,
pythagorean_wins_delta_bin=neutral,pythagorean_wins_delta_bin,neutral,research_feature,1,1,0,1.0,0.7778,0.2222,micro,research,False,Retain as a descriptive feature only.,needs at least 4 graded plays to monitor,
spread_score_bin=<=0,spread_score_bin,<=0,selector_diagnostic,1,1,0,1.0,0.7778,0.2222,micro,research,False,Retain as a descriptive feature only.,needs at least 4 graded plays to monitor,
