matchup,classification,total_score,confidence,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score,injury_edge,injury_net_impact,injury_description,situational_score,situational_factors,statistical_score,statistical_edge,game_theory_score,market_dynamics,schedule_score,schedule_factors
Philadelphia Eagles @ Washington Commanders,🔵 BLUE CHIP,18.8,18.8,14.0,-2.0,50.0,50.0,0,6,EDGE,0,Found 6 total injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+9.5 points),6,"Market inefficiency detected (+14.0% sharp edge), STEAM MOVE: Sharps heavily against public, High contrarian value (fade the public)",0,Neutral schedule situation (standard rest)
Buffalo Bills @ Cleveland Browns,🎯 TARGETED PLAY,10.7,10.7,6.0,5.0,53.1,51.6,0,3,EDGE,0,Found 9 total injuries,-2,"Double-digit spread (10.5) - blowout risk, Late season - motivation concerns",2,Statistical value on home team (+13.5 points),4,"Market mispricing possible (+6.0% edge), Potential steam move developing, High contrarian value (fade the public)",0,Neutral schedule situation (standard rest)
Cincinnati Bengals @ Miami Dolphins,🎯 TARGETED PLAY,10.3,10.3,17.0,-1.0,31.8,63.6,0,0,NO EDGE,0,Found 2 total injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+5.0 points),4,"Market inefficiency detected (+17.0% sharp edge), Potential steam move developing",-1,Minor rest edge (1 days)
Atlanta Falcons @ Arizona Cardinals,🎯 TARGETED PLAY,9.2,9.2,0.0,3.0,39.5,53.8,0,8,EDGE,0,Found 12 total injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+5.5 points),0,Standard market dynamics,-2,AWAY rest advantage (+3 days)
Tampa Bay Buccaneers @ Carolina Panthers,🎯 TARGETED PLAY,7.7,7.7,21.0,0.0,55.6,52.9,0,-1,EDGE,0,Found 5 total injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+6.0 points),2,Market inefficiency detected (+21.0% sharp edge),-2,AWAY rest advantage (+3 days)
Pittsburgh Steelers @ Detroit Lions,🎯 TARGETED PLAY,7.4,7.4,-10.0,6.0,56.5,46.7,0,3,EDGE,0,Found 3 total injuries,-1,Late season - motivation concerns,2,Statistical value on away team (4.0 points),2,Market inefficiency detected (-10.0% sharp edge),1,Minor rest edge (1 days)
San Francisco 49ers @ Indianapolis Colts,🎯 TARGETED PLAY,7.1,7.1,13.0,1.0,60.0,37.5,0,-1,EDGE,0,Found 5 total injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+9.0 points),2,Market inefficiency detected (+13.0% sharp edge),0,Neutral schedule situation (standard rest)
Minnesota Vikings @ New York Giants,🎯 TARGETED PLAY,6.5,6.5,6.0,-3.0,38.9,35.3,0,1,EDGE,0,Found 3 total injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+6.0 points),4,"Market mispricing possible (+6.0% edge), Potential steam move developing, High contrarian value (fade the public)",0,Neutral schedule situation (standard rest)
New England Patriots @ Baltimore Ravens,🎯 TARGETED PLAY,5.7,5.7,7.0,6.0,52.6,60.3,0,-1,EDGE,0,Found 5 total injuries,-1,Late season - motivation concerns,0,No stat edge,5,"Market mispricing possible (+7.0% edge), Extreme public sentiment (81% on one side), Potential steam move developing, High contrarian value (fade the public)",0,Neutral schedule situation (standard rest)
Los Angeles Rams @ Seattle Seahawks,📊 LEAN,3.6,3.6,0.0,-11.0,50.0,40.0,0,2,EDGE,0,Found 6 total injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+4.5 points),0,Standard market dynamics,0,Neutral schedule situation (standard rest)
Jacksonville Jaguars @ Denver Broncos,📊 LEAN,3.5,3.5,7.0,3.0,44.4,46.3,0,0,NO EDGE,0,Found 4 total injuries,-1,Late season - motivation concerns,0,No stat edge,3,"Market mispricing possible (+7.0% edge), Potential steam move developing",0,Neutral schedule situation (standard rest)
Kansas City Chiefs @ Tennessee Titans,📊 LEAN,3.3,3.3,-7.0,-3.0,48.3,51.7,0,1,EDGE,0,Found 5 total injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+6.5 points),1,Market mispricing possible (-7.0% edge),0,Neutral schedule situation (standard rest)
Las Vegas Raiders @ Houston Texans,⚠️ LANDMINE,2.7,2.7,9.0,2.0,34.7,46.0,0,0,NO EDGE,0,Found 6 total injuries,-2,"Large spread (14.5) - potential cupcake game, Late season - motivation concerns",2,Statistical value on away team (11.5 points),1,Market mispricing possible (+9.0% edge),0,Neutral schedule situation (standard rest)
Los Angeles Chargers @ Dallas Cowboys,⚠️ LANDMINE,-1.5,1.5,-9.0,-4.0,58.2,44.6,0,-2,EDGE,0,Found 4 total injuries,-1,Late season - motivation concerns,0,No stat edge,2,"Market mispricing possible (-9.0% edge), High contrarian value (fade the public)",0,Neutral schedule situation (standard rest)
Green Bay Packers @ Chicago Bears,⚠️ LANDMINE,-0.4,0.4,0.0,8.0,55.6,33.3,0,-1,EDGE,0,Found 7 total injuries,-1,Late season - motivation concerns,1,Modest statistical edge (2.5 points),0,Standard market dynamics,0,Neutral schedule situation (standard rest)
New York Jets @ New Orleans Saints,❌ FADE,-3.0,3.0,4.0,0.0,35.3,42.9,0,-2,EDGE,0,Found 10 total injuries,-1,Late season - motivation concerns,1,Modest statistical edge (1.5 points),0,Standard market dynamics,0,Neutral schedule situation (standard rest)
