matchup_key,season,season_type,week,away_team,home_team,away_tla,home_tla,game,has_initial,initial_classification,initial_classification_label,initial_recommendation,initial_tier_score,initial_total_score,initial_confidence,initial_model_version,initial_signal_classification,initial_pick_market,initial_pick_side,initial_selector_score,initial_pick_reasons,initial_recommendation_trace,initial_data_quality_status,initial_unsafe_sources,initial_degraded_sources,initial_source_health_status,initial_source_health_warnings,initial_source_health_degraded_sources,initial_source_health_unsafe_sources,initial_source_health_reference_time,has_update,update_classification,update_classification_label,update_recommendation,update_tier_score,update_total_score,update_confidence,update_model_version,update_signal_classification,update_pick_market,update_pick_side,update_selector_score,update_pick_reasons,update_recommendation_trace,update_data_quality_status,update_unsafe_sources,update_degraded_sources,update_source_health_status,update_source_health_warnings,update_source_health_degraded_sources,update_source_health_unsafe_sources,update_source_health_reference_time,has_lock,lock_classification,lock_classification_label,lock_recommendation,lock_tier_score,lock_total_score,lock_confidence,lock_model_version,lock_signal_classification,lock_pick_market,lock_pick_side,lock_selector_score,lock_pick_reasons,lock_recommendation_trace,lock_data_quality_status,lock_unsafe_sources,lock_degraded_sources,lock_source_health_status,lock_source_health_warnings,lock_source_health_degraded_sources,lock_source_health_unsafe_sources,lock_source_health_reference_time,has_final,final_classification,final_classification_label,final_recommendation,final_tier_score,final_total_score,final_confidence,final_model_version,final_signal_classification,final_pick_market,final_pick_side,final_selector_score,final_pick_reasons,final_recommendation_trace,final_data_quality_status,final_unsafe_sources,final_degraded_sources,final_source_health_status,final_source_health_warnings,final_source_health_degraded_sources,final_source_health_unsafe_sources,final_source_health_reference_time,away_score,home_score,final_margin,final_total
BUF@JAX,2025,,WC,Buffalo Bills,Jacksonville Jaguars,BUF,JAX,Buffalo Bills @ Jacksonville Jaguars,True,⚠️ LANDMINE,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3.0,0.8,0.8,,,,,,,,,,,,,,,,True,⚠️ LANDMINE,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3.0,0.8,0.8,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,24.0,3.0,51.0
GB@CHI,2025,,WC,Green Bay Packers,Chicago Bears,GB,CHI,Green Bay Packers @ Chicago Bears,True,🎯 TARGETED PLAY,SOLID EDGE,🎯 TARGETED PLAY: Green Bay Packers -109,10.0,7.8,7.8,,,,,,,,,,,,,,,,True,⚠️ LANDMINE,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3.0,4.4,4.4,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,31.0,-4.0,58.0
HOU@PIT,2025,,WC,Houston Texans,Pittsburgh Steelers,HOU,PIT,Houston Texans @ Pittsburgh Steelers,True,⚠️ LANDMINE,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3.0,2.5,2.5,,,,,,,,,,,,,,,,True,⚠️ LANDMINE,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3.0,2.0,2.0,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,6.0,24.0,36.0
LAC@NE,2025,,WC,Los Angeles Chargers,New England Patriots,LAC,NE,Los Angeles Chargers @ New England Patriots,True,❌ FADE,AVOID,❌ AVOID: Multiple negative factors align,2.0,-6.4,6.4,,,,,,,,,,,,,,,,True,❌ FADE,AVOID,❌ AVOID: Multiple negative factors align,2.0,-3.9,3.9,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,16.0,-13.0,19.0
LAR@CAR,2025,,WC,Los Angeles Rams,Carolina Panthers,LAR,CAR,Los Angeles Rams @ Carolina Panthers,True,⚠️ LANDMINE,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3.0,4.3,4.3,,,,,,,,,,,,,,,,True,⚠️ LANDMINE,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3.0,3.4,3.4,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,31.0,3.0,65.0
SF@PHI,2025,,WC,San Francisco 49ers,Philadelphia Eagles,SF,PHI,San Francisco 49ers @ Philadelphia Eagles,True,⚠️ LANDMINE,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3.0,3.6,3.6,,,,,,,,,,,,,,,,True,⚠️ LANDMINE,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3.0,3.6,3.6,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,19.0,4.0,42.0
TBD@TBD,2026,POST,WC,TBD,TBD,TBD,TBD,TBD @ TBD,False,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T18:35:46.777728+00:00,0,0,0,0
TBD@TBD,2026,POST,WC,TBD,TBD,TBD,TBD,TBD @ TBD,False,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T18:35:46.777728+00:00,0,0,0,0
TBD@TBD,2026,POST,WC,TBD,TBD,TBD,TBD,TBD @ TBD,False,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T18:35:46.777728+00:00,0,0,0,0
TBD@TBD,2026,POST,WC,TBD,TBD,TBD,TBD,TBD @ TBD,False,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T18:35:46.777728+00:00,0,0,0,0
