season,season_type,week,matchup_key,away_team,home_team,away_tla,home_tla,game,has_initial,initial_classification,initial_classification_label,initial_recommendation,initial_tier_score,initial_total_score,initial_confidence,initial_model_version,initial_signal_classification,initial_pick_market,initial_pick_side,initial_selector_score,initial_pick_reasons,initial_recommendation_trace,initial_data_quality_status,initial_unsafe_sources,initial_degraded_sources,initial_sharp_spread_line,initial_sharp_total_line,initial_sharp_moneyline_line,initial_source_health_status,initial_source_health_warnings,initial_source_health_degraded_sources,initial_source_health_unsafe_sources,initial_source_health_reference_time,has_update,update_classification,update_classification_label,update_recommendation,update_tier_score,update_total_score,update_confidence,update_model_version,update_signal_classification,update_pick_market,update_pick_side,update_selector_score,update_pick_reasons,update_recommendation_trace,update_data_quality_status,update_unsafe_sources,update_degraded_sources,update_sharp_spread_line,update_sharp_total_line,update_sharp_moneyline_line,update_source_health_status,update_source_health_warnings,update_source_health_degraded_sources,update_source_health_unsafe_sources,update_source_health_reference_time,has_lock,lock_classification,lock_classification_label,lock_recommendation,lock_tier_score,lock_total_score,lock_confidence,lock_model_version,lock_signal_classification,lock_pick_market,lock_pick_side,lock_selector_score,lock_pick_reasons,lock_recommendation_trace,lock_data_quality_status,lock_unsafe_sources,lock_degraded_sources,lock_sharp_spread_line,lock_sharp_total_line,lock_sharp_moneyline_line,lock_source_health_status,lock_source_health_warnings,lock_source_health_degraded_sources,lock_source_health_unsafe_sources,lock_source_health_reference_time,has_final,final_classification,final_classification_label,final_recommendation,final_tier_score,final_total_score,final_confidence,final_model_version,final_signal_classification,final_pick_market,final_pick_side,final_selector_score,final_pick_reasons,final_recommendation_trace,final_data_quality_status,final_unsafe_sources,final_degraded_sources,final_sharp_spread_line,final_sharp_total_line,final_sharp_moneyline_line,final_source_health_status,final_source_health_warnings,final_source_health_degraded_sources,final_source_health_unsafe_sources,final_source_health_reference_time,away_score,home_score,final_margin,final_total
2026,REG,1,ARI@LAC,Arizona Cardinals,Los Angeles Chargers,ARI,LAC,Arizona Cardinals @ Los Angeles Chargers,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,-0.5,0.5,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,+10.5 (-105) | -9.5 (-108),o47.5 (-104) | u47 (-107),+475 | -485,DEGRADED,rotowire: missing file path,rotowire,,2026-09-09T00:29:11.264756+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2026,REG,1,ATL@PIT,Atlanta Falcons,Pittsburgh Steelers,ATL,PIT,Atlanta Falcons @ Pittsburgh Steelers,True,📊 LEAN,SLIGHT EDGE,👀 LEAN: Pittsburgh Steelers -3.5 (proceed with caution),5,9.5,9.5,2026.1,🎯 TARGETED PLAY,spread,HOME,3,sharp spread edge,"{""final_decision"": {""market"": ""spread"", ""reason"": ""spread candidate cleared threshold and ranked highest"", ""score"": 3, ""side"": ""HOME""}, ""market_candidates"": {""spread"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": true, ""conflicts"": [], ""has_sharp_edge"": true, ""market"": ""spread"", ""reasons"": [""sharp spread edge""], ""requires_sharp_edge"": true, ""score"": 3, ""side"": ""HOME"", ""signals"": [{""impact"": 3, ""score"": -3, ""side"": ""HOME"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 3, ""threshold_adjustments"": []}, ""total"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""market"": ""total"", ""reasons"": [""referee over trend""], ""score"": 2, ""side"": ""OVER"", ""signals"": [{""impact"": 2, ""reasons"": [""referee over trend""], ""score"": 2, ""side"": ""OVER"", ""source"": ""ref_weather_context"", ""status"": ""aligned""}], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,+3.5 (-110) | -3 (-110),o41.5 (-109) | u41.5 (-103),+154 | -160,DEGRADED,rotowire: missing file path,rotowire,,2026-09-09T00:29:11.264756+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2026,REG,1,BAL@IND,Baltimore Ravens,Indianapolis Colts,BAL,IND,Baltimore Ravens @ Indianapolis Colts,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,2.7,2.7,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,-3.5 (-103) | +3.5 (-105),o47.5 (-115) | u48 (-108),-175 | +165,DEGRADED,rotowire: missing file path,rotowire,,2026-09-09T00:29:11.264756+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2026,REG,1,BUF@HOU,Buffalo Bills,Houston Texans,BUF,HOU,Buffalo Bills @ Houston Texans,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,3.6,3.6,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,-1.5 (+100) | +1.5 (-114),o44.5 (-108) | u44.5 (-104),-114 | +102,DEGRADED,rotowire: missing file path,rotowire,,2026-09-09T00:29:11.264756+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2026,REG,1,CHI@CAR,Chicago Bears,Carolina Panthers,CHI,CAR,Chicago Bears @ Carolina Panthers,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,5.0,5.0,2026.1,📊 LEAN,none,,3,,"{""final_decision"": {""market"": ""none"", ""reason"": ""no market cleared threshold"", ""side"": null}, ""market_candidates"": {""spread"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""has_sharp_edge"": true, ""market"": ""spread"", ""reasons"": [""sharp spread edge""], ""requires_sharp_edge"": true, ""score"": 3, ""side"": ""AWAY"", ""signals"": [{""impact"": 3, ""score"": 3, ""side"": ""AWAY"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 4, ""threshold_adjustments"": []}, ""total"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""market"": ""total"", ""reasons"": [""sharp total edge""], ""score"": 1, ""side"": ""OVER"", ""signals"": [{""impact"": 1, ""score"": 1, ""side"": ""OVER"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,-2.5 (-118) | +3 (+100),o47.5 (-102) | u47 (-107),-145 | +140,DEGRADED,rotowire: missing file path,rotowire,,2026-09-09T00:29:11.264756+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2026,REG,1,CLE@JAX,Cleveland Browns,Jacksonville Jaguars,CLE,JAX,Cleveland Browns @ Jacksonville Jaguars,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,-0.4,0.4,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,+8.5 (-110) | -7.5 (-110),o40.5 (-108) | u40.5 (-110),+350 | -385,DEGRADED,rotowire: missing file path,rotowire,,2026-09-09T00:29:11.264756+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2026,REG,1,DAL@NYG,Dallas Cowboys,New York Giants,DAL,NYG,Dallas Cowboys @ New York Giants,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,2.7,2.7,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,-2.5 (-115) | +3 (-111),o48.5 (-105) | u47.5 (-102),-150 | +136,DEGRADED,rotowire: missing file path,rotowire,,2026-09-09T00:29:11.264756+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2026,REG,1,DEN@KC,Denver Broncos,Kansas City Chiefs,DEN,KC,Denver Broncos @ Kansas City Chiefs,True,📊 LEAN,SLIGHT EDGE,👀 LEAN: Denver Broncos +2.5 (proceed with caution),5,9.8,9.8,2026.1,🎯 TARGETED PLAY,spread,AWAY,2,sharp spread edge,"{""final_decision"": {""market"": ""spread"", ""reason"": ""spread candidate cleared threshold and ranked highest"", ""score"": 2, ""side"": ""AWAY""}, ""market_candidates"": {""spread"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": true, ""conflicts"": [], ""has_sharp_edge"": true, ""market"": ""spread"", ""reasons"": [""sharp spread edge""], ""requires_sharp_edge"": true, ""score"": 2, ""side"": ""AWAY"", ""signals"": [{""impact"": 2, ""score"": 2, ""side"": ""AWAY"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 1.5, ""threshold_adjustments"": [{""delta"": -1.0, ""reason"": ""near-consensus AWAY (1.2pt WARPS edge), early REG wk 1-6 \u2014 63.3% ATS historically""}, {""delta"": -0.5, ""reason"": ""slight home favorite (-3.0) AWAY fade, early REG wk 1-6 \u2014 66.4% ATS historically""}]}, ""total"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [{""impact"": -2, ""reasons"": [""referee over trend""], ""score"": 2, ""side"": ""OVER"", ""source"": ""ref_weather_context"", ""status"": ""conflict""}], ""market"": ""total"", ""reasons"": [""ref/weather total context conflicts""], ""score"": -2, ""side"": ""UNDER"", ""signals"": [], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,+2.5 (+100) | -2.5 (-114),o43 (-109) | u43.5 (-110),+130 | -141,DEGRADED,rotowire: missing file path,rotowire,,2026-09-09T00:29:11.264756+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2026,REG,1,GB@MIN,Green Bay Packers,Minnesota Vikings,GB,MIN,Green Bay Packers @ Minnesota Vikings,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,3.2,3.2,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,+1.5 (-108) | +1.5 (-120),o46 (-109) | u46.5 (-110),+102 | -110,DEGRADED,rotowire: missing file path,rotowire,,2026-09-09T00:29:11.264756+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2026,REG,1,MIA@LV,Miami Dolphins,Las Vegas Raiders,MIA,LV,Miami Dolphins @ Las Vegas Raiders,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,1.2,1.2,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,+3.5 (-110) | -3.5 (-105),o40.5 (-109) | u40.5 (-104),+157 | -178,DEGRADED,rotowire: missing file path,rotowire,,2026-09-09T00:29:11.264756+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
