matchup,classification,total_score,confidence,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score,injury_edge,injury_net_impact,injury_description,situational_score,situational_factors,statistical_score,statistical_edge,game_theory_score,market_dynamics,schedule_score,schedule_factors
Las Vegas Raiders @ Houston Texans,🔵 BLUE CHIP,10.0,10.0,12.0,7.0,34.7,46.0,0,4,EDGE,0,Found 4 total injuries,-2,"Large spread (14.5) - potential cupcake game, Late season - motivation concerns",2,Statistical value on away team (11.5 points),2,Market inefficiency detected (+12.0% sharp edge),0,Neutral schedule situation (standard rest)
Buffalo Bills @ Cleveland Browns,🎯 TARGETED PLAY,9.2,9.2,4.0,-12.0,53.1,51.6,4,3,EDGE,0,Found 9 total injuries,-2,"Double-digit spread (10.5) - blowout risk, Late season - motivation concerns",2,Statistical value on home team (+13.5 points),2,"Extreme public sentiment (80% on one side), High contrarian value (fade the public)",0,Neutral schedule situation (standard rest)
Atlanta Falcons @ Arizona Cardinals,🎯 TARGETED PLAY,8.7,8.7,-9.0,5.0,39.5,53.8,0,8,EDGE,0,Found 10 total injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+6.0 points),1,Market mispricing possible (-9.0% edge),-2,AWAY rest advantage (+3 days)
Pittsburgh Steelers @ Detroit Lions,🎯 TARGETED PLAY,8.4,8.4,-4.0,3.0,56.5,46.7,0,3,EDGE,0,Found 3 total injuries,-1,Late season - motivation concerns,2,Statistical value on away team (4.0 points),0,Standard market dynamics,1,Minor rest edge (1 days)
San Francisco 49ers @ Indianapolis Colts,🎯 TARGETED PLAY,6.6,6.6,6.0,2.0,60.0,37.5,0,-1,EDGE,0,Found 5 total injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+8.5 points),3,"Market mispricing possible (+6.0% edge), Potential steam move developing",0,Neutral schedule situation (standard rest)
Tampa Bay Buccaneers @ Carolina Panthers,📊 LEAN,4.9,4.9,9.0,3.0,55.6,52.9,0,0,NO EDGE,0,Found 4 total injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+6.0 points),1,Market mispricing possible (+9.0% edge),-2,AWAY rest advantage (+3 days)
Kansas City Chiefs @ Tennessee Titans,📊 LEAN,4.5,4.5,-9.0,-4.0,48.3,51.7,0,2,EDGE,0,Found 6 total injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+6.0 points),1,Market mispricing possible (-9.0% edge),0,Neutral schedule situation (standard rest)
Los Angeles Chargers @ Dallas Cowboys,⚠️ LANDMINE,-1.0,1.0,-2.0,11.0,58.2,44.6,0,-2,EDGE,0,Found 4 total injuries,-1,Late season - motivation concerns,0,No stat edge,1,High contrarian value (fade the public),0,Neutral schedule situation (standard rest)
New York Jets @ New Orleans Saints,⚠️ LANDMINE,-1.0,1.0,-14.0,2.0,35.3,42.9,0,-1,EDGE,0,Found 11 total injuries,-1,Late season - motivation concerns,2,Statistical value on away team (3.5 points),2,Market inefficiency detected (-14.0% sharp edge),0,Neutral schedule situation (standard rest)
Minnesota Vikings @ New York Giants,⚠️ LANDMINE,1.0,1.0,-3.0,-10.0,38.9,35.3,0,1,EDGE,0,Found 3 total injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+5.5 points),0,Standard market dynamics,0,Neutral schedule situation (standard rest)
Cincinnati Bengals @ Miami Dolphins,⚠️ LANDMINE,0.8,0.8,-13.0,-3.0,31.8,63.6,0,0,NO EDGE,0,Found 2 total injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+6.5 points),2,Market inefficiency detected (-13.0% sharp edge),-1,Minor rest edge (1 days)
New England Patriots @ Baltimore Ravens,⚠️ LANDMINE,-0.5,0.5,-10.0,2.0,52.6,60.3,1,-2,EDGE,0,Found 4 total injuries,-1,Late season - motivation concerns,0,No stat edge,4,"Market inefficiency detected (-10.0% sharp edge), Extreme public sentiment (84% on one side), High contrarian value (fade the public)",0,Neutral schedule situation (standard rest)
Jacksonville Jaguars @ Denver Broncos,⚠️ LANDMINE,0.3,0.3,8.0,4.0,44.4,46.3,0,-1,EDGE,0,Found 3 total injuries,-1,Late season - motivation concerns,0,No stat edge,1,Market mispricing possible (+8.0% edge),0,Neutral schedule situation (standard rest)
