matchup,classification,total_score,confidence,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score,injury_edge,injury_net_impact,injury_description,situational_score,situational_factors,statistical_score,statistical_edge,game_theory_score,market_dynamics,schedule_score,schedule_factors
Baltimore Ravens @ Pittsburgh Steelers,⚠️ LANDMINE,4.8,4.8,4.0,3.0,57.6,55.9,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,2,Strong statistical edge to Baltimore Ravens (3.4 pts),0,Standard market dynamics,1,Minor rest edge (1 days)
Seattle Seahawks @ San Francisco 49ers,⚠️ LANDMINE,3.8,3.8,0.0,-5.0,29.5,52.2,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,3,Strong statistical edge to Seattle Seahawks (5.0 pts),0,Standard market dynamics,1,Minor rest edge (1 days)
Green Bay Packers @ Minnesota Vikings,⚠️ LANDMINE,-1.1,1.1,-25.0,4.0,52.1,55.1,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-2,"Double-digit spread (12.5) - blowout risk, Late season - motivation concerns",1,Statistical edge to Green Bay Packers (1.6 pts),2,Market inefficiency detected (-25.0% sharp edge),2,HOME rest advantage (+4 days)
Detroit Lions @ Chicago Bears,⚠️ LANDMINE,0.6,0.6,-4.0,7.0,45.2,63.6,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,1,Statistical edge to Detroit Lions (1.1 pts),0,Standard market dynamics,-2,AWAY rest advantage (+3 days)
Arizona Cardinals @ Los Angeles Rams,❌ FADE,-11.9,11.9,6.0,12.0,55.3,47.8,0,-7.0,EDGE,0,Found 2 high-impact injuries,-2,"Large spread (16.5) - potential cupcake game, Late season - motivation concerns",-3,Strong statistical edge to Los Angeles Rams (5.0 pts),1,Market mispricing possible (+6.0% edge),0,Neutral schedule situation (standard rest)
Miami Dolphins @ New England Patriots,❌ FADE,-11.5,11.5,-6.0,0.0,38.9,40.5,0,-3.5,EDGE,0,Found 2 high-impact injuries,-2,"Large spread (14.5) - potential cupcake game, Late season - motivation concerns",-3,Strong statistical edge to New England Patriots (5.0 pts),3,"Market mispricing possible (-6.0% edge), Potential steam move developing",0,Neutral schedule situation (standard rest)
Washington Commanders @ Philadelphia Eagles,❌ FADE,-11.5,11.5,8.0,0.0,48.9,54.2,0,-6.5,EDGE,0,Found 2 high-impact injuries,-1,Late season - motivation concerns,-2,Strong statistical edge to Philadelphia Eagles (3.3 pts),1,Market mispricing possible (+8.0% edge),-2,AWAY rest advantage (+3 days)
Kansas City Chiefs @ Las Vegas Raiders,❌ FADE,-10.8,10.8,-18.0,0.0,61.1,55.6,0,-5.0,EDGE,0,Found 1 high-impact injuries,-1,Late season - motivation concerns,-1,Statistical edge to Las Vegas Raiders (2.0 pts),2,Market inefficiency detected (-18.0% sharp edge),-2,AWAY rest advantage (+4 days)
New York Jets @ Buffalo Bills,❌ FADE,-9.2,9.2,1.0,3.0,56.1,46.6,0,-3.5,EDGE,0,Found 2 high-impact injuries,-2,"Large spread (15.5) - potential cupcake game, Late season - motivation concerns",-3,Strong statistical edge to Buffalo Bills (5.0 pts),1,Extreme public sentiment (16% on one side),0,Neutral schedule situation (standard rest)
Los Angeles Chargers @ Denver Broncos,❌ FADE,-8.3,8.3,-27.0,-2.0,51.2,48.9,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-2,"Large spread (18.5) - potential cupcake game, Late season - motivation concerns",-3,Strong statistical edge to Denver Broncos (5.0 pts),2,Market inefficiency detected (-27.0% sharp edge),2,HOME rest advantage (+4 days)
Tennessee Titans @ Jacksonville Jaguars,❌ FADE,-7.3,7.3,-7.0,7.0,39.2,51.9,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-2,"Double-digit spread (12.5) - blowout risk, Late season - motivation concerns",-3,Strong statistical edge to Jacksonville Jaguars (5.0 pts),3,"Market mispricing possible (-7.0% edge), Potential steam move developing",0,Neutral schedule situation (standard rest)
