dimension,passes,value
data_quality_status,14,DEGRADED
data_quality_status,77,OK
final_reason,70,no market cleared threshold
final_reason,21,signal classification was LANDMINE
spread_blockers,40,NONE
spread_blockers,4,no sharp spread side
spread_blockers,26,sharp spread edge required
spread_blockers,33,team-rating conflict
spread_conflicts,47,NONE
spread_conflicts,23,injury
spread_conflicts,33,team_rating
spread_threshold_status,19,missed threshold
spread_threshold_status,21,missing candidate
spread_threshold_status,4,no sharp spread side
spread_threshold_status,26,sharp spread edge required
spread_threshold_status,33,team-rating conflict
total_blockers,90,NONE
total_blockers,1,no sharp total side
total_conflicts,78,NONE
total_conflicts,13,ref_weather_context
total_threshold_status,69,missed threshold
total_threshold_status,21,missing candidate
total_threshold_status,1,no sharp total side
