matchup,season_type,classification,signal_classification,data_quality_status,unsafe_sources,degraded_sources,recommendation,pick_market,pick_side,selector_score,source_blocked_market,source_blocked_side,source_blocked_score,source_blocked_recommendation,spread_candidate_score,total_candidate_score,pass_reason,selector_reasons,trace_final_market,trace_final_side,trace_final_reason,trace_spread_side,trace_spread_threshold,trace_spread_cleared,trace_spread_blockers,trace_spread_signals,trace_spread_conflicts,trace_total_side,trace_total_threshold,trace_total_cleared,trace_total_blockers,trace_total_signals,trace_total_conflicts,aggregate_score,sharp_spread_direction,sharp_spread_score,sharp_total_direction,sharp_total_score,statistical_score,injury_score,referee_ats_score,referee_ou_score,weather_score,data_quality_warnings,data_quality_critical_warnings
Los Angeles Rams @ Kansas City Chiefs,PRE,⚠️ PASS,🎯 TARGETED PLAY,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,0.0,2.0,no market cleared threshold,,none,,no market cleared threshold,HOME,4,False,no sharp spread side; sharp spread edge required,injury:HOME:0,,UNDER,4,False,,ref_weather_context:UNDER:2,,12.8,NEUTRAL,0,NEUTRAL,0,3,5.0,0,-2,0,rotowire: missing file path,
Denver Broncos @ Atlanta Falcons,PRE,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,0.0,2.0,no market cleared threshold,,none,,no market cleared threshold,NEUTRAL,4,False,no sharp spread side; sharp spread edge required,,,UNDER,4,False,,ref_weather_context:UNDER:2,,8.9,NEUTRAL,0,NEUTRAL,0,3,0.0,3,-2,0,rotowire: missing file path,
Jacksonville Jaguars @ New Orleans Saints,PRE,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,0.0,2.0,no market cleared threshold,,none,,no market cleared threshold,HOME,5,False,no sharp spread side; sharp spread edge required,injury:HOME:0,,UNDER,4,False,,ref_weather_context:UNDER:2,,8.6,NEUTRAL,0,NEUTRAL,0,3,1.5,0,-2,0,rotowire: missing file path,
Arizona Cardinals @ Las Vegas Raiders,PRE,⚠️ PASS,🎯 TARGETED PLAY,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,0.0,0.0,no market cleared threshold,,none,,no market cleared threshold,AWAY,4,False,no sharp spread side; sharp spread edge required,injury:AWAY:0,,NEUTRAL,4,False,no sharp total side,,,8.0,NEUTRAL,0,NEUTRAL,0,-1,-7.0,-2,0,0,rotowire: missing file path,
Green Bay Packers @ Pittsburgh Steelers,PRE,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,0.0,2.0,no market cleared threshold,,none,,no market cleared threshold,NEUTRAL,4,False,no sharp spread side; sharp spread edge required,,,OVER,4,False,,ref_weather_context:OVER:2,,6.8,NEUTRAL,0,NEUTRAL,0,3,0.0,0,2,0,rotowire: missing file path,
Cleveland Browns @ Chicago Bears,PRE,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,3.9,NEUTRAL,0,NEUTRAL,0,1,0.0,3,0,0,rotowire: missing file path,
Tampa Bay Buccaneers @ New York Jets,PRE,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,2.4,NEUTRAL,0,NEUTRAL,0,-1,3.5,0,0,0,rotowire: missing file path,
Detroit Lions @ Cincinnati Bengals,PRE,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,-1.8,NEUTRAL,0,NEUTRAL,0,-1,0.0,0,0,0,rotowire: missing file path,
Miami Dolphins @ Washington Commanders,PRE,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,1.8,NEUTRAL,0,NEUTRAL,0,-1,3.0,0,0,0,rotowire: missing file path,
Minnesota Vikings @ New York Giants,PRE,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,-1.8,NEUTRAL,0,NEUTRAL,0,-1,0.0,0,0,0,rotowire: missing file path,
Los Angeles Chargers @ Houston Texans,PRE,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,-1.2,NEUTRAL,0,NEUTRAL,0,-2,2.0,0,0,0,rotowire: missing file path,
Philadelphia Eagles @ Baltimore Ravens,PRE,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,0.0,NEUTRAL,0,NEUTRAL,0,0,0.0,0,0,0,rotowire: missing file path,
Tennessee Titans @ San Francisco 49ers,PRE,❌ FADE,❌ FADE,DEGRADED,,rotowire,❌ AVOID: Multiple negative factors align,none,,,,,,,,,fade classification,,none,,signal classification was FADE,,,,,,,,,,,,,-5.4,NEUTRAL,0,NEUTRAL,0,-3,0.0,0,0,0,rotowire: missing file path,
Carolina Panthers @ Buffalo Bills,PRE,❌ FADE,❌ FADE,DEGRADED,,rotowire,❌ AVOID: Multiple negative factors align,none,,,,,,,,,fade classification,,none,,signal classification was FADE,,,,,,,,,,,,,-4.0,NEUTRAL,0,NEUTRAL,0,-3,0.0,-2,0,0,rotowire: missing file path,
Dallas Cowboys @ Seattle Seahawks,PRE,❌ FADE,❌ FADE,DEGRADED,,rotowire,❌ AVOID: Multiple negative factors align,none,,,,,,,,,fade classification,,none,,signal classification was FADE,,,,,,,,,,,,,-3.3,NEUTRAL,0,NEUTRAL,0,-3,0.0,3,0,0,rotowire: missing file path,
Indianapolis Colts @ New England Patriots,PRE,❌ FADE,❌ FADE,DEGRADED,,rotowire,❌ AVOID: Multiple negative factors align,none,,,,,,,,,fade classification,,none,,signal classification was FADE,,,,,,,,,,,,,-2.6,NEUTRAL,0,NEUTRAL,0,-3,0.0,-2,-2,0,rotowire: missing file path,
