aligned_sources,fold,injury_policy,line,margin_to_line,market,matchup,result,score,side,spread_threshold,threshold,total_policy,total_threshold,week
ref_weather_context+sharp,1,raise_spread_threshold,41.5,11.5,total,Houston Texans @ Kansas City Chiefs,win,7.0,UNDER,3,4,allow,4,14
ref_weather_context+sharp,2,raise_spread_threshold,41.5,-1.5,total,Miami Dolphins @ Pittsburgh Steelers,loss,7.0,UNDER,3,4,allow,4,15
sharp+team_rating,2,raise_spread_threshold,-13.0,15.0,spread,New York Jets @ Jacksonville Jaguars,win,5.0,HOME,3,4,allow,4,15
ref_weather_context+sharp,2,raise_spread_threshold,49.5,16.5,total,Buffalo Bills @ New England Patriots,win,4.0,OVER,3,4,allow,4,15
ref_weather_context,2,raise_spread_threshold,41.5,12.5,total,Los Angeles Chargers @ Kansas City Chiefs,win,4.0,UNDER,3,4,allow,4,15
ref_weather_context+sharp,2,raise_spread_threshold,39.0,8.0,total,Las Vegas Raiders @ Philadelphia Eagles,win,4.0,UNDER,3,4,allow,4,15
sharp,2,raise_spread_threshold,-5.5,1.5,spread,Detroit Lions @ Los Angeles Rams,win,3.0,HOME,3,3,allow,4,15
sharp+team_rating,2,raise_spread_threshold,-12.5,0.5,spread,Tennessee Titans @ San Francisco 49ers,win,3.0,HOME,3,3,allow,4,15
injury+sharp+team_rating,3,raise_spread_threshold,4.5,-19.5,spread,Cincinnati Bengals @ Miami Dolphins,loss,4.0,HOME,3,4,allow,4,16
sharp+team_rating,3,raise_spread_threshold,3.5,17.5,spread,Jacksonville Jaguars @ Denver Broncos,win,3.0,AWAY,3,3,allow,4,16
injury+sharp+team_rating,4,raise_spread_threshold,5.5,8.5,spread,Tampa Bay Buccaneers @ Miami Dolphins,win,4.0,HOME,3,4,allow,4,17
sharp+team_rating,4,raise_spread_threshold,-6.5,10.5,spread,Seattle Seahawks @ Carolina Panthers,win,3.0,AWAY,3,3,allow,4,17
sharp+team_rating,5,raise_spread_threshold,3.5,20.5,spread,Dallas Cowboys @ New York Giants,win,5.0,HOME,3,3,allow,4,18
injury+sharp+team_rating,5,raise_spread_threshold,3.5,1.5,spread,New Orleans Saints @ Atlanta Falcons,win,4.0,AWAY,3,4,allow,4,18
