team,decision,stake_tier,bet_side,line,odds,model_prob,price_edge,edge,gate_id,historical_bets,historical_roi_pct,historical_units,profitable_season_pct,roi_without_best_season,fragility_flags
ARI,BET,core,Over,4.5,150,0.7629,0.3816,2.18,v23_over_gate,60,3.45,2.002,44.44,-0.98,best-season dependent; sub-50% season hit-rate
CIN,BET,core,Under,9.5,130,0.7113,0.2943,-1.76,v23_under_gate,162,1.61,2.542,50.0,-0.84,best-season dependent
MIA,BET,core,Over,4.5,110,0.7696,0.3123,2.26,v23_over_gate,60,3.45,2.002,44.44,-0.98,best-season dependent; sub-50% season hit-rate
DAL,BET,core,Under,9.5,-125,0.7824,0.2499,-2.41,v23_under_gate,162,1.61,2.542,50.0,-0.84,best-season dependent
IND,BET,core,Over,7.5,-125,0.7512,0.2187,2.06,v23_over_gate,60,3.45,2.002,44.44,-0.98,best-season dependent; sub-50% season hit-rate
LAC,BET,core,Under,10.5,-145,0.7552,0.1896,-2.05,v23_under_gate,162,1.61,2.542,50.0,-0.84,best-season dependent
BAL,BET,core,Under,11.5,-140,0.7438,0.184,-1.97,v23_under_gate,162,1.61,2.542,50.0,-0.84,best-season dependent
HOU,BET,standard,Over,9.5,-125,0.6604,0.1279,1.3,v23_over_gate,60,3.45,2.002,44.44,-0.98,best-season dependent; sub-50% season hit-rate
JAX,BET,small,Over,9.5,120,0.6245,0.1901,0.97,v23_over_gate,60,3.45,2.002,44.44,-0.98,best-season dependent; sub-50% season hit-rate; thin forecast edge
WAS,BET,small,Under,7.5,110,0.5937,0.1364,-0.79,v23_under_gate,162,1.61,2.542,50.0,-0.84,best-season dependent; thin forecast edge
CHI,BET,small,Under,9.5,-125,0.6175,0.085,-1.06,v23_under_gate,162,1.61,2.542,50.0,-0.84,best-season dependent; thin price edge
GB,BET,small,Under,10.5,-175,0.6917,0.0825,-1.63,v23_under_gate,162,1.61,2.542,50.0,-0.84,best-season dependent; thin price edge
NYJ,BET,small,Under,5.5,-110,0.5689,0.0689,-0.57,v23_under_gate,162,1.61,2.542,50.0,-0.84,best-season dependent; thin forecast edge; thin price edge
SF,BET,small,Under,10.5,-125,0.6016,0.0691,-0.86,v23_under_gate,162,1.61,2.542,50.0,-0.84,best-season dependent; thin forecast edge; thin price edge
KC,BET,small,Under,10.5,-145,0.6399,0.0743,-1.18,v23_under_gate,162,1.61,2.542,50.0,-0.84,best-season dependent; thin price edge
TEN,BET,small,Under,6.5,-115,0.5627,0.0519,-0.53,v23_under_gate,162,1.61,2.542,50.0,-0.84,best-season dependent; thin forecast edge; thin price edge
SEA,WATCH,none,Over,10.5,-125,0.6248,0.0923,0.94,watch_or_pass,0,0.0,0.0,0.0,0.0,best-season dependent; sub-50% season hit-rate; thin forecast edge; thin price edge
MIN,WATCH,none,Over,8.5,-110,0.5802,0.0802,0.53,watch_or_pass,0,0.0,0.0,0.0,0.0,best-season dependent; sub-50% season hit-rate; thin forecast edge; thin price edge
CLE,PASS,none,Over,6.5,155,0.5466,0.1722,0.26,watch_or_pass,0,0.0,0.0,0.0,0.0,best-season dependent; sub-50% season hit-rate; thin forecast edge
ATL,PASS,none,Over,7.5,115,0.5747,0.1311,0.49,watch_or_pass,0,0.0,0.0,0.0,0.0,best-season dependent; sub-50% season hit-rate; thin forecast edge
LV,PASS,none,Under,5.5,130,0.5247,0.1077,-0.26,watch_or_pass,0,0.0,0.0,0.0,0.0,best-season dependent; sub-50% season hit-rate; thin forecast edge
PIT,PASS,none,Over,8.5,115,0.5569,0.1133,0.38,watch_or_pass,0,0.0,0.0,0.0,0.0,best-season dependent; sub-50% season hit-rate; thin forecast edge
LAR,PASS,none,Under,11.5,115,0.5562,0.1126,-0.46,watch_or_pass,0,0.0,0.0,0.0,0.0,best-season dependent; sub-50% season hit-rate; thin forecast edge
BUF,PASS,none,Under,10.5,120,0.5266,0.0922,-0.28,watch_or_pass,0,0.0,0.0,0.0,0.0,best-season dependent; sub-50% season hit-rate; thin forecast edge; thin price edge
TB,PASS,none,Over,8.5,110,0.5081,0.0508,0.06,watch_or_pass,0,0.0,0.0,0.0,0.0,best-season dependent; sub-50% season hit-rate; thin forecast edge; thin price edge
DET,PASS,none,Under,10.5,110,0.5017,0.0444,-0.05,watch_or_pass,0,0.0,0.0,0.0,0.0,best-season dependent; sub-50% season hit-rate; thin forecast edge; thin price edge
CAR,PASS,none,Under,7.5,-130,0.5546,0.0119,-0.48,watch_or_pass,0,0.0,0.0,0.0,0.0,best-season dependent; sub-50% season hit-rate; thin forecast edge; thin price edge
PHI,PASS,none,Under,10.5,-145,0.58,0.0144,-0.68,watch_or_pass,0,0.0,0.0,0.0,0.0,best-season dependent; sub-50% season hit-rate; thin forecast edge; thin price edge
NYG,PASS,none,Over,7.5,-110,0.5108,0.0108,0.03,watch_or_pass,0,0.0,0.0,0.0,0.0,best-season dependent; sub-50% season hit-rate; thin forecast edge; thin price edge
DEN,PASS,none,Over,9.5,-125,0.5083,-0.0242,0.02,watch_or_pass,0,0.0,0.0,0.0,0.0,best-season dependent; sub-50% season hit-rate; thin forecast edge; thin price edge
NO,PASS,none,Over,7.5,-125,0.5041,-0.0284,0.01,watch_or_pass,0,0.0,0.0,0.0,0.0,best-season dependent; sub-50% season hit-rate; thin forecast edge; thin price edge
NE,PASS,none,Over,9.5,-145,0.4464,-0.1192,0.54,watch_or_pass,0,0.0,0.0,0.0,0.0,best-season dependent; sub-50% season hit-rate; thin forecast edge; thin price edge
