matchup,season_type,model_version,classification,signal_classification,data_quality_status,unsafe_sources,degraded_sources,data_quality_warnings,data_quality_critical_warnings,total_score,confidence,pick_market,pick_side,pick_basis,recommendation_trace_summary,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score,injury_edge,injury_net_impact,injury_description,situational_score,situational_factors,statistical_score,statistical_edge,game_theory_score,market_dynamics,schedule_score,schedule_factors
New England Patriots @ Cleveland Browns,PRE,2026.1,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,rotowire: missing file path,,5.4,5.4,none,,,spread NEUTRAL 0/4 | total NEUTRAL 0/4 | final none ,0,0,50.0,50.0,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to New England Patriots (5.0 pts),0,Extreme public sentiment (0% on one side),0,Week PRE3 not found. Available: []...
San Francisco 49ers @ Las Vegas Raiders,PRE,2026.1,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,rotowire: missing file path,,5.4,5.4,none,,,spread NEUTRAL 0/4 | total NEUTRAL 0/4 | final none ,0,0,52.1,54.0,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to San Francisco 49ers (4.0 pts),0,Extreme public sentiment (0% on one side),0,Week PRE3 not found. Available: []...
Los Angeles Rams @ Los Angeles Chargers,PRE,2026.1,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,rotowire: missing file path,,5.4,5.4,none,,,spread NEUTRAL 0/4 | total NEUTRAL 0/4 | final none ,0,0,48.9,54.2,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to Los Angeles Rams (4.8 pts),0,Extreme public sentiment (0% on one side),0,Week PRE3 not found. Available: []...
Houston Texans @ Carolina Panthers,PRE,2026.1,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,rotowire: missing file path,,5.4,5.4,none,,,spread NEUTRAL 0/4 | total NEUTRAL 0/4 | final none ,0,0,48.8,57.8,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to Houston Texans (5.0 pts),0,Extreme public sentiment (0% on one side),0,Week PRE3 not found. Available: []...
Seattle Seahawks @ Kansas City Chiefs,PRE,2026.1,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,rotowire: missing file path,,5.4,5.4,none,,,spread NEUTRAL 0/4 | total NEUTRAL 0/4 | final none ,0,0,38.6,52.3,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to Seattle Seahawks (5.0 pts),0,Extreme public sentiment (0% on one side),0,Week PRE3 not found. Available: []...
New York Giants @ New York Jets,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,-1.8,1.8,none,,,spread NA NA/NA | total NA NA/NA | final none ,0,0,66.7,55.6,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to New York Jets (2.0 pts),0,Extreme public sentiment (0% on one side),0,Week PRE3 not found. Available: []...
Detroit Lions @ Indianapolis Colts,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,-1.8,1.8,none,,,spread NA NA/NA | total NA NA/NA | final none ,0,0,63.5,50.0,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Indianapolis Colts (2.0 pts),0,Extreme public sentiment (0% on one side),0,Week PRE3 not found. Available: []...
Washington Commanders @ Baltimore Ravens,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,-0.4,0.4,none,,,spread NA NA/NA | total NA NA/NA | final none ,0,0,50.0,38.2,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Baltimore Ravens (2.0 pts),0,Extreme public sentiment (0% on one side),0,Week PRE3 not found. Available: []...
Atlanta Falcons @ Miami Dolphins,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,-0.4,0.4,none,,,spread NA NA/NA | total NA NA/NA | final none ,0,0,37.5,38.5,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Miami Dolphins (2.0 pts),0,Extreme public sentiment (0% on one side),0,Week PRE3 not found. Available: []...
New Orleans Saints @ Dallas Cowboys,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,-0.4,0.4,none,,,spread NA NA/NA | total NA NA/NA | final none ,0,0,44.7,61.5,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Dallas Cowboys (2.0 pts),0,Extreme public sentiment (0% on one side),0,Week PRE3 not found. Available: []...
