matchup_key,season,season_type,week,away_team,home_team,away_tla,home_tla,game,has_initial,initial_classification,initial_classification_label,initial_recommendation,initial_tier_score,initial_total_score,initial_confidence,initial_model_version,initial_signal_classification,initial_pick_market,initial_pick_side,initial_selector_score,initial_pick_reasons,initial_recommendation_trace,initial_data_quality_status,initial_unsafe_sources,initial_degraded_sources,initial_sharp_spread_line,initial_sharp_total_line,initial_sharp_moneyline_line,initial_source_health_status,initial_source_health_warnings,initial_source_health_degraded_sources,initial_source_health_unsafe_sources,initial_source_health_reference_time,has_update,update_classification,update_classification_label,update_recommendation,update_tier_score,update_total_score,update_confidence,update_model_version,update_signal_classification,update_pick_market,update_pick_side,update_selector_score,update_pick_reasons,update_recommendation_trace,update_data_quality_status,update_unsafe_sources,update_degraded_sources,update_sharp_spread_line,update_sharp_total_line,update_sharp_moneyline_line,update_source_health_status,update_source_health_warnings,update_source_health_degraded_sources,update_source_health_unsafe_sources,update_source_health_reference_time,has_lock,lock_classification,lock_classification_label,lock_recommendation,lock_tier_score,lock_total_score,lock_confidence,lock_model_version,lock_signal_classification,lock_pick_market,lock_pick_side,lock_selector_score,lock_pick_reasons,lock_recommendation_trace,lock_data_quality_status,lock_unsafe_sources,lock_degraded_sources,lock_sharp_spread_line,lock_sharp_total_line,lock_sharp_moneyline_line,lock_source_health_status,lock_source_health_warnings,lock_source_health_degraded_sources,lock_source_health_unsafe_sources,lock_source_health_reference_time,has_final,final_classification,final_classification_label,final_recommendation,final_tier_score,final_total_score,final_confidence,final_model_version,final_signal_classification,final_pick_market,final_pick_side,final_selector_score,final_pick_reasons,final_recommendation_trace,final_data_quality_status,final_unsafe_sources,final_degraded_sources,final_sharp_spread_line,final_sharp_total_line,final_sharp_moneyline_line,final_source_health_status,final_source_health_warnings,final_source_health_degraded_sources,final_source_health_unsafe_sources,final_source_health_reference_time,away_score,home_score,final_margin,final_total
CAR@ATL,2026,REG,2,Carolina Panthers,Atlanta Falcons,CAR,ATL,Carolina Panthers @ Atlanta Falcons,True,❌ FADE,AVOID,❌ AVOID: Multiple negative factors align,2,-4.0,4.0,2026.1,❌ FADE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was FADE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,-2.5 (-104) | +2.5 (+106),o43.5 (-104) | u43.5 (+106),-133 | +135,DEGRADED,rotowire: missing file path,rotowire,,2026-09-16T13:23:31.587930+00:00,True,🎯 TARGETED PLAY,SOLID EDGE,🎯 TARGETED PLAY: OVER 43.5,7,6.5,6.5,2026.1,📊 LEAN,total,OVER,5,sharp total edge; referee over trend,"{""final_decision"": {""market"": ""total"", ""reason"": ""total candidate cleared threshold and ranked highest"", ""score"": 5, ""side"": ""OVER""}, ""market_candidates"": {""spread"": {""blocked"": true, ""blockers"": [""team-rating conflict""], ""cleared_threshold"": false, ""conflicts"": [{""score"": 2, ""side"": ""HOME"", ""source"": ""team_rating"", ""status"": ""conflict""}], ""has_sharp_edge"": true, ""market"": ""spread"", ""reasons"": [""sharp spread edge"", ""team-rating edge conflicts""], ""requires_sharp_edge"": true, ""score"": 0, ""side"": ""AWAY"", ""signals"": [{""impact"": 1, ""score"": 1, ""side"": ""AWAY"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 4, ""threshold_adjustments"": []}, ""total"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": true, ""conflicts"": [], ""market"": ""total"", ""reasons"": [""sharp total edge"", ""referee over trend""], ""score"": 5, ""side"": ""OVER"", ""signals"": [{""impact"": 3, ""score"": 3, ""side"": ""OVER"", ""source"": ""sharp"", ""status"": ""aligned""}, {""impact"": 2, ""reasons"": [""referee over trend""], ""score"": 2, ""side"": ""OVER"", ""source"": ""ref_weather_context"", ""status"": ""aligned""}], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""OK"", ""unsafe_sources"": []}}",OK,,,-2.5 (-111) | +2.5 (+111),o43.5 (+102) | u43.5 (-102),-135 | +135,OK,,,,2026-09-20T05:33:14.596086+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
CIN@HOU,2026,REG,2,Cincinnati Bengals,Houston Texans,CIN,HOU,Cincinnati Bengals @ Houston Texans,True,❌ FADE,AVOID,❌ AVOID: Multiple negative factors align,2,-5.4,5.4,2026.1,❌ FADE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was FADE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,+2.5 (+111) | -2.5 (-111),o46.5 (+102) | u46.5 (-102),+141 | -141,DEGRADED,rotowire: missing file path,rotowire,,2026-09-16T13:23:31.587930+00:00,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,6.6,6.6,2026.1,📊 LEAN,none,,3,,"{""final_decision"": {""market"": ""none"", ""reason"": ""no market cleared threshold"", ""side"": null}, ""market_candidates"": {""spread"": {""blocked"": true, ""blockers"": [""team-rating conflict""], ""cleared_threshold"": false, ""conflicts"": [{""score"": 2, ""side"": ""AWAY"", ""source"": ""team_rating"", ""status"": ""conflict""}], ""has_sharp_edge"": true, ""market"": ""spread"", ""reasons"": [""sharp spread edge"", ""team-rating edge conflicts""], ""requires_sharp_edge"": true, ""score"": 0, ""side"": ""HOME"", ""signals"": [{""impact"": 2, ""score"": -2, ""side"": ""HOME"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 4, ""threshold_adjustments"": []}, ""total"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""market"": ""total"", ""reasons"": [""sharp total edge""], ""score"": 3, ""side"": ""OVER"", ""signals"": [{""impact"": 3, ""score"": 3, ""side"": ""OVER"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""OK"", ""unsafe_sources"": []}}",OK,,,+2.5 (+111) | -2.5 (-110),o45.5 (+102) | u45.5 (-102),+141 | -138,OK,,,,2026-09-20T05:33:14.596086+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
CLE@TB,2026,REG,2,Cleveland Browns,Tampa Bay Buccaneers,CLE,TB,Cleveland Browns @ Tampa Bay Buccaneers,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,3.1,3.1,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,+8.5 (-102) | -8.5 (+102),o41.5 (+100) | u41.5 (+100),+388 | -376,DEGRADED,rotowire: missing file path,rotowire,,2026-09-16T13:23:31.587930+00:00,True,🎯 TARGETED PLAY,SOLID EDGE,🎯 TARGETED PLAY: OVER 41.5,7,7.0,7.0,2026.1,🎯 TARGETED PLAY,total,OVER,5,sharp total edge; referee over trend,"{""final_decision"": {""market"": ""total"", ""reason"": ""total candidate cleared threshold and ranked highest"", ""score"": 5, ""side"": ""OVER""}, ""market_candidates"": {""spread"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""has_sharp_edge"": true, ""market"": ""spread"", ""reasons"": [""sharp spread edge"", ""team-rating edge aligns""], ""requires_sharp_edge"": true, ""score"": 3, ""side"": ""HOME"", ""signals"": [{""impact"": 1, ""score"": -1, ""side"": ""HOME"", ""source"": ""sharp"", ""status"": ""aligned""}, {""impact"": 2, ""score"": 2, ""side"": ""HOME"", ""source"": ""team_rating"", ""status"": ""aligned""}], ""threshold"": 3.5, ""threshold_adjustments"": [{""delta"": 0.5, ""reason"": ""market ML implies 78% win prob for pick side: overconfidence zone""}]}, ""total"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": true, ""conflicts"": [], ""market"": ""total"", ""reasons"": [""sharp total edge"", ""referee over trend""], ""score"": 5, ""side"": ""OVER"", ""signals"": [{""impact"": 3, ""score"": 3, ""side"": ""OVER"", ""source"": ""sharp"", ""status"": ""aligned""}, {""impact"": 2, ""reasons"": [""referee over trend""], ""score"": 2, ""side"": ""OVER"", ""source"": ""ref_weather_context"", ""status"": ""aligned""}], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""OK"", ""unsafe_sources"": []}}",OK,,,+7.5 (+102) | -7.5 (-102),o41.5 (+102) | u41.5 (-102),+365 | -365,OK,,,,2026-09-20T05:33:14.596086+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
DET@BUF,2026,REG,2,Detroit Lions,Buffalo Bills,DET,BUF,Detroit Lions @ Buffalo Bills,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,0.5,0.5,2026.1,🚨 TRAP GAME,none,,3,,"{""final_decision"": {""market"": ""none"", ""reason"": ""no market cleared threshold"", ""side"": null}, ""market_candidates"": {""spread"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""has_sharp_edge"": true, ""market"": ""spread"", ""reasons"": [""sharp spread edge""], ""requires_sharp_edge"": true, ""score"": 3, ""side"": ""HOME"", ""signals"": [{""impact"": 3, ""score"": -3, ""side"": ""HOME"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 4, ""threshold_adjustments"": []}, ""total"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [{""impact"": -2, ""reasons"": [""referee under trend""], ""score"": -2, ""side"": ""UNDER"", ""source"": ""ref_weather_context"", ""status"": ""conflict""}], ""market"": ""total"", ""reasons"": [""sharp total edge"", ""ref/weather total context conflicts""], ""score"": 1, ""side"": ""OVER"", ""signals"": [{""impact"": 3, ""score"": 3, ""side"": ""OVER"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,+4.5 (+102) | -4.5 (-102),o53.5 (-108) | u54.5 (-102),+208 | -208,DEGRADED,rotowire: missing file path,rotowire,,2026-09-16T13:23:31.587930+00:00,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,3.4,3.4,2026.1,⚠️ LANDMINE,none,,3.0,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""OK"", ""unsafe_sources"": []}}",OK,,,+16.5 (-104) | -5.5 (+102),o54.5 (-102) | u63.5 (+104),+1329 | -228,OK,,,,2026-09-20T05:33:14.596086+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,31,41,-10,72
GB@NYJ,2026,REG,2,Green Bay Packers,New York Jets,GB,NYJ,Green Bay Packers @ New York Jets,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,3.3,3.3,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,-3.5 (+106) | +4.5 (-120),o44.5 (+102) | u44.5 (-102),-167 | +170,DEGRADED,rotowire: missing file path,rotowire,,2026-09-16T13:23:31.587930+00:00,True,🎯 TARGETED PLAY,SOLID EDGE,🎯 TARGETED PLAY: New York Jets +3.5,7,8.6,8.6,2026.1,🎯 TARGETED PLAY,spread,HOME,5,sharp spread edge; team-rating edge aligns,"{""final_decision"": {""market"": ""spread"", ""reason"": ""spread candidate cleared threshold and ranked highest"", ""score"": 5, ""side"": ""HOME""}, ""market_candidates"": {""spread"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": true, ""conflicts"": [], ""has_sharp_edge"": true, ""market"": ""spread"", ""reasons"": [""sharp spread edge"", ""team-rating edge aligns""], ""requires_sharp_edge"": true, ""score"": 5, ""side"": ""HOME"", ""signals"": [{""impact"": 3, ""score"": -3, ""side"": ""HOME"", ""source"": ""sharp"", ""status"": ""aligned""}, {""impact"": 2, ""score"": 2, ""side"": ""HOME"", ""source"": ""team_rating"", ""status"": ""aligned""}], ""threshold"": 3, ""threshold_adjustments"": []}, ""total"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""market"": ""total"", ""reasons"": [""sharp total edge""], ""score"": 1, ""side"": ""OVER"", ""signals"": [{""impact"": 1, ""score"": 1, ""side"": ""OVER"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""OK"", ""unsafe_sources"": []}}",OK,,,-3.5 (+113) | +3.5 (-110),o44.5 (+106) | u44.5 (-106),-160 | +160,OK,,,,2026-09-20T05:33:14.596086+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
IND@KC,2026,REG,2,Indianapolis Colts,Kansas City Chiefs,IND,KC,Indianapolis Colts @ Kansas City Chiefs,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,2.7,2.7,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,+6.5 (+100) | -6.5 (+100),o46.5 (+106) | u46.5 (-106),+277 | -277,DEGRADED,rotowire: missing file path,rotowire,,2026-09-16T13:23:31.587930+00:00,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,5.9,5.9,2026.1,📊 LEAN,none,HOME,2,,"{""final_decision"": {""market"": ""none"", ""reason"": ""no market cleared threshold"", ""side"": null}, ""market_candidates"": {""spread"": {""blocked"": true, ""blockers"": [""team-rating conflict""], ""cleared_threshold"": false, ""conflicts"": [{""score"": 2, ""side"": ""HOME"", ""source"": ""team_rating"", ""status"": ""conflict""}], ""has_sharp_edge"": true, ""market"": ""spread"", ""reasons"": [""sharp spread edge"", ""team-rating edge conflicts""], ""requires_sharp_edge"": true, ""score"": 0, ""side"": ""AWAY"", ""signals"": [{""impact"": 1, ""score"": 1, ""side"": ""AWAY"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 4, ""threshold_adjustments"": []}, ""total"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""market"": ""total"", ""reasons"": [""sharp total edge""], ""score"": 2, ""side"": ""OVER"", ""signals"": [{""impact"": 2, ""score"": 2, ""side"": ""OVER"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""OK"", ""unsafe_sources"": []}}",OK,,,+5.5 (+100) | -5.5 (+102),o46.5 (+106) | u46.5 (-106),+257 | -251,OK,,,,2026-09-20T05:33:14.596086+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
JAX@DEN,2026,REG,2,Jacksonville Jaguars,Denver Broncos,JAX,DEN,Jacksonville Jaguars @ Denver Broncos,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,0.9,0.9,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,+2.5 (+113) | -2.5 (-111),o44.5 (-104) | u45.5 (-104),+135 | -135,DEGRADED,rotowire: missing file path,rotowire,,2026-09-16T13:23:31.587930+00:00,True,🎯 TARGETED PLAY,SOLID EDGE,🎯 TARGETED PLAY: Jacksonville Jaguars +2.5,7,8.9,8.9,2026.1,🎯 TARGETED PLAY,spread,AWAY,5,sharp spread edge; team-rating edge aligns,"{""final_decision"": {""market"": ""spread"", ""reason"": ""spread candidate cleared threshold and ranked highest"", ""score"": 5, ""side"": ""AWAY""}, ""market_candidates"": {""spread"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": true, ""conflicts"": [], ""has_sharp_edge"": true, ""market"": ""spread"", ""reasons"": [""sharp spread edge"", ""team-rating edge aligns""], ""requires_sharp_edge"": true, ""score"": 5, ""side"": ""AWAY"", ""signals"": [{""impact"": 3, ""score"": 3, ""side"": ""AWAY"", ""source"": ""sharp"", ""status"": ""aligned""}, {""impact"": 2, ""score"": 2, ""side"": ""AWAY"", ""source"": ""team_rating"", ""status"": ""aligned""}], ""threshold"": 1.5, ""threshold_adjustments"": [{""delta"": -1.0, ""reason"": ""near-consensus AWAY (1.7pt WARPS edge), early REG wk 1-6 \u2014 63.3% ATS historically""}, {""delta"": -0.5, ""reason"": ""slight home favorite (-2.5) AWAY fade, early REG wk 1-6 \u2014 66.4% ATS historically""}]}, ""total"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""market"": ""total"", ""reasons"": [""sharp total edge""], ""score"": 3, ""side"": ""OVER"", ""signals"": [{""impact"": 3, ""score"": 3, ""side"": ""OVER"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""OK"", ""unsafe_sources"": []}}",OK,,,+2.5 (+111) | -2.5 (-111),o45.5 (-102) | u45.5 (+102),+141 | -141,OK,,,,2026-09-20T05:33:14.596086+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
LV@LAC,2026,REG,2,Las Vegas Raiders,Los Angeles Chargers,LV,LAC,Las Vegas Raiders @ Los Angeles Chargers,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,-1.0,1.0,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,+6.5 (+104) | -6.5 (-102),o43.5 (+100) | u43.5 (+102),+270 | -264,DEGRADED,rotowire: missing file path,rotowire,,2026-09-16T13:23:31.587930+00:00,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,6.5,6.5,2026.1,📊 LEAN,none,,0,,"{""final_decision"": {""market"": ""none"", ""reason"": ""no market cleared threshold"", ""side"": null}, ""market_candidates"": {""spread"": {""blocked"": true, ""blockers"": [""team-rating conflict""], ""cleared_threshold"": false, ""conflicts"": [{""score"": 2, ""side"": ""AWAY"", ""source"": ""team_rating"", ""status"": ""conflict""}], ""has_sharp_edge"": true, ""market"": ""spread"", ""reasons"": [""sharp spread edge"", ""team-rating edge conflicts""], ""requires_sharp_edge"": true, ""score"": 0, ""side"": ""HOME"", ""signals"": [{""impact"": 1, ""score"": -1, ""side"": ""HOME"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 4.5, ""threshold_adjustments"": [{""delta"": 0.5, ""reason"": ""market ML implies 73% win prob for pick side: overconfidence zone""}]}, ""total"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [{""impact"": -2, ""reasons"": [""referee under trend""], ""score"": -2, ""side"": ""UNDER"", ""source"": ""ref_weather_context"", ""status"": ""conflict""}], ""market"": ""total"", ""reasons"": [""sharp total edge"", ""ref/weather total context conflicts""], ""score"": -1, ""side"": ""OVER"", ""signals"": [{""impact"": 1, ""score"": 1, ""side"": ""OVER"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""OK"", ""unsafe_sources"": []}}",OK,,,+6.5 (+102) | -6.5 (-102),o43.5 (+102) | u43.5 (-102),+270 | -264,OK,,,,2026-09-20T05:33:14.596086+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
MIA@SF,2026,REG,2,Miami Dolphins,San Francisco 49ers,MIA,SF,Miami Dolphins @ San Francisco 49ers,True,❌ FADE,AVOID,❌ AVOID: Multiple negative factors align,2,-6.4,6.4,2026.1,❌ FADE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was FADE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,+13.5 (-102) | -13.5 (+104),o45.5 (+106) | u45.5 (-106),+809 | -809,DEGRADED,rotowire: missing file path,rotowire,,2026-09-16T13:23:31.587930+00:00,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,5.7,5.7,2026.1,📊 LEAN,none,,0,,"{""final_decision"": {""market"": ""none"", ""reason"": ""no market cleared threshold"", ""side"": null}, ""market_candidates"": {""spread"": {""blocked"": true, ""blockers"": [""team-rating conflict""], ""cleared_threshold"": false, ""conflicts"": [{""score"": 2, ""side"": ""HOME"", ""source"": ""team_rating"", ""status"": ""conflict""}], ""has_sharp_edge"": true, ""market"": ""spread"", ""reasons"": [""sharp spread edge"", ""team-rating edge conflicts""], ""requires_sharp_edge"": true, ""score"": 0, ""side"": ""AWAY"", ""signals"": [{""impact"": 1, ""score"": 1, ""side"": ""AWAY"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 4, ""threshold_adjustments"": []}, ""total"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""market"": ""total"", ""reasons"": [], ""score"": 0, ""side"": ""OVER"", ""signals"": [], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""OK"", ""unsafe_sources"": []}}",OK,,,+13.5 (-102) | -13.5 (+104),o44.5 (-102) | u44.5 (+104),+852 | -809,OK,,,,2026-09-20T05:33:14.596086+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
MIN@CHI,2026,REG,2,Minnesota Vikings,Chicago Bears,MIN,CHI,Minnesota Vikings @ Chicago Bears,True,📊 LEAN,SLIGHT EDGE,👀 LEAN: Chicago Bears -5.5 (proceed with caution),5,7.7,7.7,2026.1,🎯 TARGETED PLAY,spread,HOME,3,sharp spread edge,"{""final_decision"": {""market"": ""spread"", ""reason"": ""spread candidate cleared threshold and ranked highest"", ""score"": 3, ""side"": ""HOME""}, ""market_candidates"": {""spread"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": true, ""conflicts"": [], ""has_sharp_edge"": true, ""market"": ""spread"", ""reasons"": [""sharp spread edge""], ""requires_sharp_edge"": true, ""score"": 3, ""side"": ""HOME"", ""signals"": [{""impact"": 3, ""score"": -3, ""side"": ""HOME"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 3, ""threshold_adjustments"": []}, ""total"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""market"": ""total"", ""reasons"": [""referee over trend""], ""score"": 2, ""side"": ""OVER"", ""signals"": [{""impact"": 2, ""reasons"": [""referee over trend""], ""score"": 2, ""side"": ""OVER"", ""source"": ""ref_weather_context"", ""status"": ""aligned""}], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,+5.5 (-104) | -4.5 (-102),o48.5 (+106) | u48.5 (-106),+208 | -208,DEGRADED,rotowire: missing file path,rotowire,,2026-09-16T13:23:31.587930+00:00,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,3.4,3.4,2026.1,⚠️ LANDMINE,none,,3.0,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""OK"", ""unsafe_sources"": []}}",OK,,,+4.5 (-102) | -4.5 (+102),o47.5 (-102) | u47.5 (+102),+199 | -194,OK,,,,2026-09-20T05:33:14.596086+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
