matchup,season_type,classification,signal_classification,data_quality_status,unsafe_sources,degraded_sources,recommendation,pick_market,pick_side,selector_score,source_blocked_market,source_blocked_side,source_blocked_score,source_blocked_recommendation,spread_candidate_score,total_candidate_score,pass_reason,selector_reasons,trace_final_market,trace_final_side,trace_final_reason,trace_spread_side,trace_spread_threshold,trace_spread_cleared,trace_spread_blockers,trace_spread_signals,trace_spread_conflicts,trace_total_side,trace_total_threshold,trace_total_cleared,trace_total_blockers,trace_total_signals,trace_total_conflicts,aggregate_score,sharp_spread_direction,sharp_spread_score,sharp_total_direction,sharp_total_score,statistical_score,injury_score,referee_ats_score,referee_ou_score,weather_score,data_quality_warnings,data_quality_critical_warnings
Cincinnati Bengals @ Pittsburgh Steelers,REG,🎯 TARGETED PLAY,📊 LEAN,DEGRADED,,rotowire,🎯 TARGETED PLAY: Cincinnati Bengals -3.5,spread,AWAY,4,,,,,4.0,1.0,,sharp spread edge; team-rating edge aligns,spread,AWAY,spread candidate cleared threshold and ranked highest,AWAY,4,True,,sharp:AWAY:2; team_rating:AWAY:2,,UNDER,4,False,,sharp:UNDER:1,,6.6,AWAY,2,UNDER,-1,2,0.0,0,0,0,rotowire: missing file path,
Seattle Seahawks @ Washington Commanders,REG,⚠️ PASS,🎯 TARGETED PLAY,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,3.0,0.0,no market cleared threshold,,none,,no market cleared threshold,AWAY,4.0,False,,sharp:AWAY:1; team_rating:AWAY:2,injury:HOME:0,UNDER,4,False,,,,11.1,AWAY,1,UNDER,0,2,5.0,0,0,0,rotowire: missing file path,
Philadelphia Eagles @ Chicago Bears,REG,⚠️ PASS,🎯 TARGETED PLAY,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,0.0,0.0,no market cleared threshold,,none,,no market cleared threshold,AWAY,4,False,team-rating conflict,sharp:AWAY:1,team_rating:HOME:None; injury:HOME:0,UNDER,4,False,,,,8.6,AWAY,1,UNDER,0,2,2.9,0,0,0,rotowire: missing file path,
Baltimore Ravens @ Dallas Cowboys,REG,⚠️ PASS,🎯 TARGETED PLAY,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,0.0,1.0,no market cleared threshold,,none,,no market cleared threshold,AWAY,3,False,team-rating conflict,sharp:AWAY:3,team_rating:HOME:None,OVER,4,False,,sharp:OVER:1,,8.1,AWAY,3,OVER,1,2,0.0,0,0,0,rotowire: missing file path,
Los Angeles Chargers @ Buffalo Bills,REG,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,0.0,0.0,no market cleared threshold,,none,,no market cleared threshold,AWAY,4,False,team-rating conflict,sharp:AWAY:1,team_rating:HOME:None,NEUTRAL,4,False,no sharp total side,,,6.7,AWAY,1,NEUTRAL,0,2,0.0,0,0,0,rotowire: missing file path,
New York Jets @ Detroit Lions,REG,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,3.0,2.0,no market cleared threshold,,none,,no market cleared threshold,AWAY,4,False,,sharp:AWAY:1; team_rating:AWAY:2,,OVER,4,False,,sharp:OVER:2,,6.7,AWAY,1,OVER,2,2,0.0,0,0,0,rotowire: missing file path,
Atlanta Falcons @ Green Bay Packers,REG,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,0.0,0.0,no market cleared threshold,,none,,no market cleared threshold,AWAY,4,False,team-rating conflict,sharp:AWAY:2,team_rating:HOME:None,OVER,4,False,,,,6.6,AWAY,2,OVER,0,2,0.0,0,0,0,rotowire: missing file path,
Houston Texans @ Indianapolis Colts,REG,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,0.0,0.0,no market cleared threshold,,none,,no market cleared threshold,HOME,5,False,no sharp spread side; sharp spread edge required,team_rating:HOME:2,injury:AWAY:0,UNDER,4,False,,,,5.3,NEUTRAL,0,UNDER,0,2,-1.4,0,0,0,rotowire: missing file path,
Arizona Cardinals @ San Francisco 49ers,REG,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,3.0,0.0,no market cleared threshold,,none,,no market cleared threshold,HOME,4.5,False,,sharp:HOME:1; team_rating:HOME:2,,UNDER,4,False,,,,5.1,HOME,-1,UNDER,0,2,0.0,0,0,0,rotowire: missing file path,
Los Angeles Rams @ Denver Broncos,REG,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,4.8,AWAY,2,UNDER,0,0,-0.8,0,0,0,rotowire: missing file path,
