team,decision,stake_tier,bet_side,line,odds,warps_v23,edge,avg_edge,model_prob,market_no_vig_prob,price_edge,fair_odds,expected_roi,agreement_count,consensus,gate,label
ARI,BET,core,Over,4.5,+150,6.68,2.18,1.71,0.7629,0.3813,0.3816,-322,0.9073,3,3-model Over,"v2.3 over gate: edge>=0.5, price_edge>=10pp, model_prob>=60%",Model + price / 3-model consensus
CIN,BET,core,Under,9.5,+130,7.74,-1.76,-1.34,0.7113,0.417,0.2943,-246,0.636,3,2-Strong Under,"v2.3 under gate: edge>=0.5, price_edge>=5pp",Model + price / 3-model consensus
MIA,BET,core,Over,4.5,+110,6.76,2.26,1.59,0.7696,0.4573,0.3123,-334,0.6162,3,3-model Over,"v2.3 over gate: edge>=0.5, price_edge>=10pp, model_prob>=60%",Model + price / 3-model consensus
DAL,BET,core,Under,9.5,-125,7.09,-2.41,-1.8,0.7824,0.5325,0.2499,-360,0.4083,3,3-model Under,"v2.3 under gate: edge>=0.5, price_edge>=5pp",Model + price / 3-model consensus
IND,BET,core,Over,7.5,-125,9.56,2.06,1.74,0.7512,0.5325,0.2187,-302,0.3522,3,3-model Over,"v2.3 over gate: edge>=0.5, price_edge>=10pp, model_prob>=60%",Model + price / 3-model consensus
LAC,BET,core,Under,10.5,-145,8.45,-2.05,-1.86,0.7552,0.5656,0.1896,-308,0.276,3,3-model Under,"v2.3 under gate: edge>=0.5, price_edge>=5pp",Model + price / 3-model consensus
BAL,BET,core,Under,11.5,-140,9.53,-1.97,-1.87,0.7438,0.5598,0.184,-290,0.2751,3,3-model Under,"v2.3 under gate: edge>=0.5, price_edge>=5pp",Model + price / 3-model consensus
HOU,BET,standard,Over,9.5,-125,10.8,1.3,0.65,0.6604,0.5325,0.1279,-194,0.1887,2,2-model Over,"v2.3 over gate: edge>=0.5, price_edge>=10pp, model_prob>=60%",Model + price / 2-model support
JAX,BET,small,Over,9.5,+120,10.47,0.97,0.85,0.6245,0.4344,0.1901,-166,0.3739,3,2-model Over,"v2.3 over gate: edge>=0.5, price_edge>=10pp, model_prob>=60%",Model + price / 3-model consensus / thin forecast edge
WAS,BET,small,Under,7.5,+110,6.71,-0.79,0.18,0.5937,0.4573,0.1364,-146,0.2468,1,Split / No bet,"v2.3 under gate: edge>=0.5, price_edge>=5pp",Model + price / thin forecast edge
CHI,BET,small,Under,9.5,-125,8.44,-1.06,-1.19,0.6175,0.5325,0.085,-161,0.1115,3,2-Strong Under,"v2.3 under gate: edge>=0.5, price_edge>=5pp",Model + price / 3-model consensus / thin price edge
GB,BET,small,Under,10.5,-175,8.87,-1.63,-1.53,0.6917,0.6092,0.0825,-224,0.087,3,3-model Under,"v2.3 under gate: edge>=0.5, price_edge>=5pp",Model + price / 3-model consensus / thin price edge
NYJ,BET,small,Under,5.5,-110,4.93,-0.57,-0.45,0.5689,0.5,0.0689,-132,0.0861,3,Split / No bet,"v2.3 under gate: edge>=0.5, price_edge>=5pp",Model + price / 3-model consensus / thin forecast edge / thin price edge
SF,BET,small,Under,10.5,-125,9.64,-0.86,-1.21,0.6016,0.5325,0.0691,-151,0.0829,3,2-Strong Under,"v2.3 under gate: edge>=0.5, price_edge>=5pp",Model + price / 3-model consensus / thin forecast edge / thin price edge
KC,BET,small,Under,10.5,-145,9.32,-1.18,-1.03,0.6399,0.5656,0.0743,-178,0.0812,3,2-Strong Under,"v2.3 under gate: edge>=0.5, price_edge>=5pp",Model + price / 3-model consensus / thin price edge
TEN,BET,small,Under,6.5,-115,5.97,-0.53,-0.32,0.5627,0.5108,0.0519,-129,0.052,2,Split / No bet,"v2.3 under gate: edge>=0.5, price_edge>=5pp",Model + price / 2-model support / thin forecast edge / thin price edge
SEA,WATCH,none,Over,10.5,-125,11.44,0.94,0.23,0.6248,0.5325,0.0923,-167,0.1246,2,Split / No bet,"Partial gate: model and price agree, but historical side-specific gate is not fully met",2-model support / thin forecast edge / thin price edge
MIN,WATCH,none,Over,8.5,-110,9.03,0.53,0.27,0.5802,0.5,0.0802,-138,0.1077,3,Split / No bet,"Partial gate: model and price agree, but historical side-specific gate is not fully met",3-model consensus / thin forecast edge / thin price edge
CLE,PASS,none,Over,6.5,+155,6.76,0.26,-0.03,0.5466,0.3744,0.1722,-121,0.3938,2,Split / No bet,Historical betting gate not met,2-model support / thin forecast edge
ATL,PASS,none,Over,7.5,+115,7.99,0.49,0.35,0.5747,0.4436,0.1311,-135,0.2356,3,Split / No bet,Historical betting gate not met,3-model consensus / thin forecast edge
LV,PASS,none,Under,5.5,+130,5.24,-0.26,0.16,0.5247,0.417,0.1077,-110,0.2068,2,Split / No bet,Historical betting gate not met,2-model support / thin forecast edge
PIT,PASS,none,Over,8.5,+115,8.88,0.38,0.17,0.5569,0.4436,0.1133,-126,0.1973,3,Split / No bet,Historical betting gate not met,3-model consensus / thin forecast edge
LAR,PASS,none,Under,11.5,+115,11.04,-0.46,-0.53,0.5562,0.4436,0.1126,-125,0.1958,3,2-model Under,Historical betting gate not met,3-model consensus / thin forecast edge
BUF,PASS,none,Under,10.5,+120,10.22,-0.28,-0.37,0.5266,0.4344,0.0922,-111,0.1585,3,Split / No bet,Historical betting gate not met,3-model consensus / thin forecast edge / thin price edge
TB,PASS,none,Over,8.5,+110,8.56,0.06,-0.15,0.5081,0.4573,0.0508,-103,0.067,1,Split / No bet,Historical betting gate not met,thin forecast edge / thin price edge
