matchup,season_type,classification,signal_classification,data_quality_status,unsafe_sources,degraded_sources,recommendation,pick_market,pick_side,selector_score,source_blocked_market,source_blocked_side,source_blocked_score,source_blocked_recommendation,spread_candidate_score,total_candidate_score,pass_reason,selector_reasons,trace_final_market,trace_final_side,trace_final_reason,trace_spread_side,trace_spread_threshold,trace_spread_cleared,trace_spread_blockers,trace_spread_signals,trace_spread_conflicts,trace_total_side,trace_total_threshold,trace_total_cleared,trace_total_blockers,trace_total_signals,trace_total_conflicts,aggregate_score,sharp_spread_direction,sharp_spread_score,sharp_total_direction,sharp_total_score,statistical_score,injury_score,referee_ats_score,referee_ou_score,weather_score,data_quality_warnings,data_quality_critical_warnings
New York Jets @ Detroit Lions,REG,🎯 TARGETED PLAY,🎯 TARGETED PLAY,DEGRADED,,rotowire,🎯 TARGETED PLAY: OVER 47.5,total,OVER,4,,,,,3.0,4.0,,sharp total edge; referee over trend,total,OVER,total candidate cleared threshold and ranked highest,AWAY,3,True,,sharp:AWAY:1; team_rating:AWAY:2,,OVER,4,True,,sharp:OVER:2; ref_weather_context:OVER:2,,8.1,AWAY,1,OVER,2,2,0.0,0,2,0,rotowire: missing file path,
Seattle Seahawks @ Washington Commanders,REG,⚠️ PASS,🎯 TARGETED PLAY,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,3.0,0.0,no market cleared threshold,,none,,no market cleared threshold,AWAY,4.0,False,,sharp:AWAY:1; team_rating:AWAY:2,injury:HOME:0,UNDER,4,False,,,,11.1,AWAY,1,UNDER,0,2,5.0,0,0,0,rotowire: missing file path,
Philadelphia Eagles @ Chicago Bears,REG,⚠️ PASS,🎯 TARGETED PLAY,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,0.0,2.0,no market cleared threshold,,none,,no market cleared threshold,AWAY,4,False,team-rating conflict,sharp:AWAY:1,team_rating:HOME:None; injury:HOME:0,UNDER,4,False,,ref_weather_context:UNDER:2,,10.0,AWAY,1,UNDER,0,2,2.9,0,-2,0,rotowire: missing file path,
Atlanta Falcons @ Green Bay Packers,REG,⚠️ PASS,🎯 TARGETED PLAY,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,0.0,0.0,no market cleared threshold,,none,,no market cleared threshold,AWAY,3,False,team-rating conflict,sharp:AWAY:3,team_rating:HOME:None,OVER,4,False,,,,8.1,AWAY,3,OVER,0,2,0.0,2,0,0,rotowire: missing file path,
Baltimore Ravens @ Dallas Cowboys,REG,⚠️ PASS,🎯 TARGETED PLAY,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,0.0,1.0,no market cleared threshold,,none,,no market cleared threshold,AWAY,3,False,team-rating conflict,sharp:AWAY:3,team_rating:HOME:None,OVER,4,False,,sharp:OVER:1,,8.1,AWAY,3,OVER,1,2,0.0,-2,0,0,rotowire: missing file path,
Cincinnati Bengals @ Pittsburgh Steelers,REG,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,3.0,2.0,no market cleared threshold,,none,,no market cleared threshold,AWAY,4,False,,sharp:AWAY:1; team_rating:AWAY:2,,UNDER,4,False,,ref_weather_context:UNDER:2,,6.5,AWAY,1,UNDER,0,2,0.0,0,-2,0,rotowire: missing file path,
Los Angeles Chargers @ Buffalo Bills,REG,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,0.0,0.0,no market cleared threshold,,none,,no market cleared threshold,AWAY,4,False,team-rating conflict,,team_rating:HOME:None,NEUTRAL,4,False,no sharp total side,,,5.2,AWAY,0,NEUTRAL,0,2,0.0,0,0,0,rotowire: missing file path,
Carolina Panthers @ Cleveland Browns,REG,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,0.0,0.0,no market cleared threshold,,none,,no market cleared threshold,HOME,4,False,team-rating conflict,sharp:HOME:1,team_rating:AWAY:None,UNDER,4,False,,,,5.1,HOME,-1,UNDER,0,2,0.0,0,0,0,rotowire: missing file path,
Arizona Cardinals @ San Francisco 49ers,REG,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,3.0,0.0,no market cleared threshold,,none,,no market cleared threshold,HOME,4.5,False,,sharp:HOME:1; team_rating:HOME:2,,UNDER,4,False,,,,5.1,HOME,-1,UNDER,0,2,0.0,-2,0,0,rotowire: missing file path,
Los Angeles Rams @ Denver Broncos,REG,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,4.8,AWAY,2,UNDER,0,0,-0.8,0,0,0,rotowire: missing file path,
Tennessee Titans @ New York Giants,REG,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,4.2,HOME,-1,UNDER,-1,0,0.0,3,-2,1,rotowire: missing file path,
Kansas City Chiefs @ Miami Dolphins,REG,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,4.1,AWAY,1,UNDER,0,2,0.0,0,0,0,rotowire: missing file path,
Minnesota Vikings @ Tampa Bay Buccaneers,REG,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,3.6,AWAY,0,OVER,0,2,0.0,0,0,0,rotowire: missing file path,
Las Vegas Raiders @ New Orleans Saints,REG,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,3.6,AWAY,0,UNDER,0,2,0.0,0,0,0,rotowire: missing file path,
