team,market_total,qb_override,override_reason,source,confidence
ARI,4.5,-1.0,3 wins in 2025; 4th-hardest schedule; defense still weak,DraftKings May 2026 / FOX Sports,0.75
ATL,6.5,-0.5,Penix/Tua QB battle; Stefanski new HC year 1,DraftKings May 2026 / CBS Sports,0.65
BAL,11.5,1.0,Lamar healthy bounce-back; Trey Hendrickson added,DraftKings May 2026 / beat consensus,0.80
BUF,12.5,0.5,McDermott out; Joe Brady HC — modest new-staff uncertainty,DraftKings June 2026,0.70
CAR,7.5,0.0,Bryce Young year 3; stable but limited upside,DraftKings May 2026,0.60
CHI,9.5,-0.5,Toughest schedule in NFL 2026; key defensive departures,FOX Sports schedule difficulty ranking,0.70
CIN,9.5,1.0,Burrow healthy; Dexter Lawrence II acquisition; 3rd-easiest schedule,DraftKings / CBS Sports,0.78
CLE,5.5,-1.5,Watson/Sanders/Gabriel/Green QB chaos; unresolved starter,DraftKings / FOX Sports,0.80
DAL,9.5,0.5,Rashan Gary + Caleb Downs defensive upgrade,DraftKings May 2026 / FOX Sports,0.68
DEN,9.5,-0.5,Regression from 14W season expected; 11 one-score wins in 2025,DraftKings / RotoWire,0.75
DET,10.5,0.5,9-8 injury-ravaged 2025; health bounce-back expected,DraftKings / beat consensus,0.72
GB,9.5,0.0,Love year 3; stable,DraftKings,0.65
HOU,9.5,0.0,CJ Stroud year 3; solid baseline,DraftKings,0.65
IND,7.5,0.0,Anthony Richardson developing; no material change,DraftKings,0.60
JAX,7.5,0.5,Trevor Lawrence; moderate upside if healthy,DraftKings,0.60
KC,11.5,1.0,Mahomes bounce-back from 6-11; K. Walker added; plus-money on over per RotoWire,DraftKings / RotoWire,0.78
LAC,9.5,0.0,Herbert solid; Harbaugh year 2,DraftKings,0.65
LAR,11.5,0.5,Myles Garrett trade; Super Bowl favorites,DraftKings / RotoWire,0.75
LV,6.5,0.0,Building year; no QB edge signal,DraftKings,0.55
MIA,4.5,-2.0,Offensive collapse confirmed; Tua departed,DraftKings / CBS Sports,0.82
MIN,9.5,0.0,JJ McCarthy developing; stable,DraftKings,0.62
NE,8.5,1.5,Drake Maye year 2 leap; market pricing SB regression correctly,DraftKings / beat consensus,0.72
NO,4.5,0.5,2nd-easiest schedule; red zone regression likely corrects,DraftKings / CBS Sports,0.65
NYG,5.5,0.0,Rebuild year,DraftKings,0.55
NYJ,6.5,-1.5,Rodgers age/durability; roster thinness,DraftKings / LSR,0.72
PHI,11.5,0.0,Sirianni stable; Hurts healthy,DraftKings,0.70
PIT,8.5,0.0,Stable but limited ceiling,DraftKings,0.65
SEA,10.5,-0.5,Defending SB champs; regression expected,DraftKings / RotoWire,0.70
SF,10.5,0.0,Purdy year 4; stable if healthy,DraftKings,0.65
TB,8.5,0.0,Baker Mayfield 2025 H2 regression concerning; hold neutral,DraftKings May 2026 / CBS Sports,0.63
TEN,6.5,0.5,Saleh HC; Carnell Tate WR4 pick; Cam Ward year 2,DraftKings June 2026,0.62
WAS,7.5,1.5,Daniels missed 7 games in 2025; 2-5 without him; year 2 health bounce-back,DraftKings / FOX Sports,0.75
